[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
5,1000,100,50,10,12,260,507,1000,1750
1,1000,100,50,10,15,331,490,1000,2585
3,1000,100,50,10,19,348,504,1000,3859
4,1000,100,50,10,13,206,527,1000,1315
2,1000,100,50,10,15,316,510,1000,2486
7,1000,100,50,10,14,285,508,1000,2121
6,1000,100,50,10,14,322,492,1000,2618
8,1000,100,50,10,20,374,494,1000,4154
1,1000,100,50,10,16,340,490,1000,2916
4,1000,100,50,10,14,238,527,1000,1521
2,1000,100,50,10,16,316,510,1000,2802
3,1000,100,50,10,20,352,504,1000,4207
7,1000,100,50,10,15,304,508,1000,2406
6,1000,100,50,10,15,346,492,1000,2940
8,1000,100,50,10,21,368,494,1000,4528
3,1000,100,50,10,21,345,504,1000,4559
2,1000,100,50,10,17,324,510,1000,3118
1,1000,100,50,10,17,356,490,1000,3256
7,1000,100,50,10,16,316,508,1000,2710
4,1000,100,50,10,15,252,527,1000,1759
8,1000,100,50,10,22,368,494,1000,4896
6,1000,100,50,10,16,345,492,1000,3286
3,1000,100,50,10,22,359,504,1000,4904
1,1000,100,50,10,18,378,490,1000,3612
4,1000,100,50,10,16,263,527,1000,2011
7,1000,100,50,10,17,333,508,1000,3026
2,1000,100,50,10,18,333,510,1000,3442
8,1000,100,50,10,23,373,494,1000,5264
6,1000,100,50,10,17,355,492,1000,3631
3,1000,100,50,10,23,357,504,1000,5263
1,1000,100,50,10,19,389,490,1000,3990
4,1000,100,50,10,17,262,527,1000,2274
7,1000,100,50,10,18,335,508,1000,3359
8,1000,100,50,10,24,383,494,1000,5637
2,1000,100,50,10,19,356,510,1000,3775
6,1000,100,50,10,18,365,492,1000,3986
3,1000,100,50,10,24,358,504,1000,5620
1,1000,100,50,10,20,389,490,1000,4379
4,1000,100,50,10,18,289,527,1000,2536
8,1000,100,50,10,25,393,494,1000,6020
7,1000,100,50,10,19,339,508,1000,3694
2,1000,100,50,10,20,356,510,1000,4131
6,1000,100,50,10,19,369,492,1000,4351
3,1000,100,50,10,25,352,504,1000,5978
4,1000,100,50,10,19,306,527,1000,2825
1,1000,100,50,10,21,387,490,1000,4768
7,1000,100,50,10,20,342,508,1000,4033
8,1000,100,50,10,26,378,494,1000,6413
4,1000,100,50,10,20,311,527,1000,3131
6,1000,100,50,10,20,360,492,1000,4720
3,1000,100,50,10,26,357,504,1000,6330
2,1000,100,50,10,21,351,510,1000,4487
1,1000,100,50,10,22,388,490,1000,5155
7,1000,100,50,10,21,348,508,1000,4375
4,1000,100,50,10,21,330,527,1000,3442
1,1000,100,50,10,23,385,490,1000,5543
7,1000,100,50,10,22,341,508,1000,4723
8,1000,100,50,10,27,377,494,1000,6791
4,1000,100,50,10,22,334,527,1000,3772
3,1000,100,50,10,27,359,504,1000,6687
6,1000,100,50,10,21,368,492,1000,5080
2,1000,100,50,10,22,344,510,1000,4838
1,1000,100,50,10,24,400,490,1000,5928
7,1000,100,50,10,23,353,508,1000,5064
8,1000,100,50,10,28,383,494,1000,7168
4,1000,100,50,10,23,341,527,1000,4106
1,1000,100,50,10,25,392,490,1000,6328
3,1000,100,50,10,28,355,504,1000,7046
8,1000,100,50,10,29,381,494,1000,7551
2,1000,100,50,10,23,357,510,1000,5182
7,1000,100,50,10,24,348,508,1000,5417
6,1000,100,50,10,22,376,492,1000,5448
1,1000,100,50,10,26,396,490,1000,6720
6,1000,100,50,10,23,368,492,1000,5824
7,1000,100,50,10,25,349,508,1000,5765
5,1000,100,50,10,13,285,507,1000,2010
4,1000,100,50,10,24,349,527,1000,4447
3,1000,100,50,10,29,353,504,1000,7401
8,1000,100,50,10,30,384,494,1000,7932
2,1000,100,50,10,24,363,510,1000,5539
8,1000,100,50,10,31,387,494,1000,8316
6,1000,100,50,10,24,363,492,1000,6192
1,1000,100,50,10,27,403,490,1000,7116
7,1000,100,50,10,26,360,508,1000,6114
2,1000,100,50,10,25,358,510,1000,5902
3,1000,100,50,10,30,351,504,1000,7754
5,1000,100,50,10,14,297,507,1000,2295
4,1000,100,50,10,25,345,527,1000,4796
6,1000,100,50,10,25,357,492,1000,6555
8,1000,100,50,10,32,383,494,1000,8703
2,1000,100,50,10,26,366,510,1000,6260
3,1000,100,50,10,31,352,504,1000,8105
1,1000,100,50,10,28,389,490,1000,7519
7,1000,100,50,10,27,358,508,1000,6474
4,1000,100,50,10,26,343,527,1000,5141
8,1000,100,50,10,33,383,494,1000,9086
5,1000,100,50,10,15,306,507,1000,2592
6,1000,100,50,10,26,357,492,1000,6912
2,1000,100,50,10,27,359,510,1000,6626
3,1000,100,50,10,32,356,504,1000,8457
1,1000,100,50,10,29,393,490,1000,7908
7,1000,100,50,10,28,349,508,1000,6832
4,1000,100,50,10,27,347,527,1000,5484
6,1000,100,50,10,27,355,492,1000,7269
2,1000,100,50,10,28,358,510,1000,6985
1,1000,100,50,10,30,392,490,1000,8301
5,1000,100,50,10,16,309,507,1000,2898
7,1000,100,50,10,29,356,508,1000,7181
3,1000,100,50,10,33,362,504,1000,8813
6,1000,100,50,10,28,360,492,1000,7624
2,1000,100,50,10,29,370,510,1000,7343
4,1000,100,50,10,28,354,527,1000,5831
7,1000,100,50,10,30,359,508,1000,7537
3,1000,100,50,10,34,370,504,1000,9175
6,1000,100,50,10,29,360,492,1000,7984
5,1000,100,50,10,17,324,507,1000,3207
4,1000,100,50,10,29,358,527,1000,6185
7,1000,100,50,10,31,368,508,1000,7896
2,1000,100,50,10,30,367,510,1000,7713
3,1000,100,50,10,35,360,504,1000,9545
6,1000,100,50,10,30,366,492,1000,8344
5,1000,100,50,10,18,333,507,1000,3531
4,1000,100,50,10,30,346,527,1000,6543
2,1000,100,50,10,31,366,510,1000,8080
7,1000,100,50,10,32,367,508,1000,8264
6,1000,100,50,10,31,365,492,1000,8710
3,1000,100,50,10,36,356,504,1000,9905
2,1000,100,50,10,32,363,510,1000,8446
4,1000,100,50,10,31,336,527,1000,6889
5,1000,100,50,10,19,341,507,1000,3864
8,1000,100,50,10,34,386,494,1000,9469
1,1000,100,50,10,31,399,490,1000,8693
3,1000,100,50,10,37,352,504,1000,10261
5,1000,100,50,10,20,345,507,1000,4205
6,1000,100,50,10,32,364,492,1000,9075
2,1000,100,50,10,33,361,510,1000,8809
8,1000,100,50,10,35,378,494,1000,9855
3,1000,100,50,10,38,365,504,1000,10613
1,1000,100,50,10,32,397,490,1000,9092
5,1000,100,50,10,21,353,507,1000,4550
6,1000,100,50,10,33,367,492,1000,9439
7,1000,100,50,10,33,373,508,1000,8631
8,1000,100,50,10,36,372,494,1000,10233
2,1000,100,50,10,34,358,510,1000,9170
3,1000,100,50,10,39,380,504,1000,10978
1,1000,100,50,10,33,391,490,1000,9489
6,1000,100,50,10,34,372,492,1000,9806
5,1000,100,50,10,22,370,507,1000,4903
8,1000,100,50,10,37,381,494,1000,10605
7,1000,100,50,10,34,368,508,1000,9004
4,1000,100,50,10,32,339,527,1000,7225
2,1000,100,50,10,35,359,510,1000,9528
3,1000,100,50,10,40,383,504,1000,11358
1,1000,100,50,10,34,377,490,1000,9880
6,1000,100,50,10,35,383,492,1000,10178
8,1000,100,50,10,38,399,494,1000,10986
7,1000,100,50,10,35,378,508,1000,9372
2,1000,100,50,10,36,362,510,1000,9887
5,1000,100,50,10,23,365,507,1000,5273
4,1000,100,50,10,33,335,527,1000,7564
1,1000,100,50,10,35,387,490,1000,10257
3,1000,100,50,10,41,386,504,1000,11741
8,1000,100,50,10,39,394,494,1000,11385
7,1000,100,50,10,36,385,508,1000,9750
5,1000,100,50,10,24,363,507,1000,5638
6,1000,100,50,10,36,384,492,1000,10561
4,1000,100,50,10,34,336,527,1000,7899
1,1000,100,50,10,36,382,490,1000,10644
3,1000,100,50,10,42,389,504,1000,12127
2,1000,100,50,10,37,367,510,1000,10249
7,1000,100,50,10,37,390,508,1000,10135
8,1000,100,50,10,40,387,494,1000,11779
5,1000,100,50,10,25,373,507,1000,6001
4,1000,100,50,10,35,328,527,1000,8235
6,1000,100,50,10,37,380,492,1000,10945
3,1000,100,50,10,43,387,504,1000,12516
1,1000,100,50,10,37,376,490,1000,11026
2,1000,100,50,10,38,356,510,1000,10616
7,1000,100,50,10,38,394,508,1000,10525
8,1000,100,50,10,41,385,494,1000,12166
5,1000,100,50,10,26,369,507,1000,6374
4,1000,100,50,10,36,333,527,1000,8563
1,1000,100,50,10,38,385,490,1000,11402
2,1000,100,50,10,39,361,510,1000,10972
6,1000,100,50,10,38,389,492,1000,11325
3,1000,100,50,10,44,388,504,1000,12903
7,1000,100,50,10,39,380,508,1000,10919
5,1000,100,50,10,27,371,507,1000,6743
4,1000,100,50,10,37,347,527,1000,8896
8,1000,100,50,10,42,383,494,1000,12551
1,1000,100,50,10,39,386,490,1000,11787
7,1000,100,50,10,40,378,508,1000,11299
2,1000,100,50,10,40,361,510,1000,11333
6,1000,100,50,10,39,390,492,1000,11714
3,1000,100,50,10,45,385,504,1000,13291
8,1000,100,50,10,43,389,494,1000,12934
4,1000,100,50,10,38,346,527,1000,9243
5,1000,100,50,10,28,367,507,1000,7114
2,1000,100,50,10,41,362,510,1000,11694
6,1000,100,50,10,40,378,492,1000,12104
8,1000,100,50,10,44,385,494,1000,13323
3,1000,100,50,10,46,387,504,1000,13676
1,1000,100,50,10,40,389,490,1000,12173
7,1000,100,50,10,41,385,508,1000,11677
6,1000,100,50,10,41,376,492,1000,12482
4,1000,100,50,10,39,353,527,1000,9589
2,1000,100,50,10,42,367,510,1000,12056
5,1000,100,50,10,29,364,507,1000,7481
3,1000,100,50,10,47,386,504,1000,14063
1,1000,100,50,10,41,409,490,1000,12562
8,1000,100,50,10,45,383,494,1000,13708
6,1000,100,50,10,42,383,492,1000,12858
7,1000,100,50,10,42,367,508,1000,12062
5,1000,100,50,10,30,356,507,1000,7845
4,1000,100,50,10,40,355,527,1000,9942
2,1000,100,50,10,43,369,510,1000,12423
8,1000,100,50,10,46,381,494,1000,14091
3,1000,100,50,10,48,386,504,1000,14449
6,1000,100,50,10,43,389,492,1000,13241
7,1000,100,50,10,43,374,508,1000,12429
1,1000,100,50,10,42,399,490,1000,12971
5,1000,100,50,10,31,355,507,1000,8201
4,1000,100,50,10,41,343,527,1000,10297
2,1000,100,50,10,44,365,510,1000,12792
3,1000,100,50,10,49,374,504,1000,14835
6,1000,100,50,10,44,394,492,1000,13630
7,1000,100,50,10,44,381,508,1000,12803
8,1000,100,50,10,47,369,494,1000,14472
1,1000,100,50,10,43,392,490,1000,13370
4,1000,100,50,10,42,344,527,1000,10640
5,1000,100,50,10,32,367,507,1000,8556
2,1000,100,50,10,45,359,510,1000,13157
6,1000,100,50,10,45,397,492,1000,14024
3,1000,100,50,10,50,379,504,1000,15209
7,1000,100,50,10,45,386,508,1000,13184
1,1000,100,50,10,44,400,490,1000,13762
8,1000,100,50,10,48,368,494,1000,14841
2,1000,100,50,10,46,370,510,1000,13516
4,1000,100,50,10,43,346,527,1000,10984
7,1000,100,50,10,46,371,508,1000,13570
6,1000,100,50,10,46,398,492,1000,14421
3,1000,100,50,10,51,369,504,1000,15588
8,1000,100,50,10,49,370,494,1000,15209
1,1000,100,50,10,45,407,490,1000,14162
5,1000,100,50,10,33,381,507,1000,8923
2,1000,100,50,10,47,371,510,1000,13886
6,1000,100,50,10,47,394,492,1000,14819
4,1000,100,50,10,44,342,527,1000,11330
7,1000,100,50,10,47,371,508,1000,13941
8,1000,100,50,10,50,381,494,1000,15579
3,1000,100,50,10,52,379,504,1000,15957
1,1000,100,50,10,46,386,490,1000,14569
2,1000,100,50,10,48,376,510,1000,14257
5,1000,100,50,10,34,389,507,1000,9304
4,1000,100,50,10,45,337,527,1000,11672
6,1000,100,50,10,48,396,492,1000,15213
7,1000,100,50,10,48,373,508,1000,14312
3,1000,100,50,10,53,391,504,1000,16336
8,1000,100,50,10,51,385,494,1000,15960
1,1000,100,50,10,47,402,490,1000,14955
4,1000,100,50,10,46,328,527,1000,12009
5,1000,100,50,10,35,379,507,1000,9693
2,1000,100,50,10,49,368,510,1000,14633
6,1000,100,50,10,49,403,492,1000,15609
8,1000,100,50,10,52,375,494,1000,16345
3,1000,100,50,10,54,381,504,1000,16727
1,1000,100,50,10,48,403,490,1000,15357
7,1000,100,50,10,49,389,508,1000,14685
4,1000,100,50,10,47,345,527,1000,12337
5,1000,100,50,10,36,367,507,1000,10072
6,1000,100,50,10,50,410,492,1000,16012
8,1000,100,50,10,53,378,494,1000,16720
2,1000,100,50,10,50,376,510,1000,15001
3,1000,100,50,10,55,382,504,1000,17108
7,1000,100,50,10,50,378,508,1000,15074
5,1000,100,50,10,37,367,507,1000,10439
1,1000,100,50,10,49,404,490,1000,15760
8,1000,100,50,10,54,383,494,1000,17098
2,1000,100,50,10,51,369,510,1000,15377
6,1000,100,50,10,51,404,492,1000,16422
4,1000,100,50,10,48,350,527,1000,12682
7,1000,100,50,10,51,374,508,1000,15452
1,1000,100,50,10,50,399,490,1000,16164
5,1000,100,50,10,38,357,507,1000,10806
8,1000,100,50,10,55,380,494,1000,17481
2,1000,100,50,10,52,360,510,1000,15746
7,1000,100,50,10,52,371,508,1000,15826
1,1000,100,50,10,51,395,490,1000,16563
4,1000,100,50,10,49,336,527,1000,13032
6,1000,100,50,10,52,394,492,1000,16826
8,1000,100,50,10,56,380,494,1000,17861
2,1000,100,50,10,53,364,510,1000,16106
7,1000,100,50,10,53,364,508,1000,16197
6,1000,100,50,10,53,380,492,1000,17220
1,1000,100,50,10,52,395,490,1000,16958
5,1000,100,50,10,39,365,507,1000,11163
3,1000,100,50,10,56,390,504,1000,17490
4,1000,100,50,10,50,337,527,1000,13368
2,1000,100,50,10,54,372,510,1000,16470
6,1000,100,50,10,54,383,492,1000,17600
7,1000,100,50,10,54,367,508,1000,16561
4,1000,100,50,10,51,346,527,1000,13705
1,1000,100,50,10,53,391,490,1000,17353
5,1000,100,50,10,40,366,507,1000,11528
3,1000,100,50,10,57,370,504,1000,17880
6,1000,100,50,10,55,375,492,1000,17983
8,1000,100,50,10,57,386,494,1000,18241
7,1000,100,50,10,55,371,508,1000,16928
2,1000,100,50,10,55,372,510,1000,16842
4,1000,100,50,10,52,341,527,1000,14051
3,1000,100,50,10,58,370,504,1000,18250
1,1000,100,50,10,54,389,490,1000,17744
5,1000,100,50,10,41,366,507,1000,11894
5,1000,100,50,10,42,378,507,1000,12260
4,1000,100,50,10,53,357,527,1000,14392
6,1000,100,50,10,56,376,492,1000,18358
1,1000,100,50,10,55,378,490,1000,18133
