[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
1,1000,100,5,25,0,87,1000,0
4,1000,100,5,25,0,90,1000,0
2,1000,100,5,25,0,86,1000,0
5,1000,100,5,25,0,92,1000,0
6,1000,100,5,25,0,84,1000,0
3,1000,100,5,25,0,94,1000,0
8,1000,100,5,25,0,89,1000,0
2,1000,100,5,25,1,133,1000,86
1,1000,100,5,25,1,125,1000,87
4,1000,100,5,25,1,146,1000,90
5,1000,100,5,25,1,145,1000,92
2,1000,100,5,25,2,173,1000,219
6,1000,100,5,25,1,132,1000,84
1,1000,100,5,25,2,175,1000,212
7,1000,100,5,25,0,88,1000,0
4,1000,100,5,25,2,189,1000,236
5,1000,100,5,25,2,189,1000,237
3,1000,100,5,25,1,152,1000,94
2,1000,100,5,25,3,227,1000,392
6,1000,100,5,25,2,162,1000,216
1,1000,100,5,25,3,218,1000,387
8,1000,100,5,25,1,123,1000,89
4,1000,100,5,25,3,256,1000,425
5,1000,100,5,25,3,238,1000,426
3,1000,100,5,25,2,199,1000,246
1,1000,100,5,25,4,261,1000,605
7,1000,100,5,25,1,137,1000,88
2,1000,100,5,25,4,291,1000,619
6,1000,100,5,25,3,205,1000,378
8,1000,100,5,25,2,166,1000,212
5,1000,100,5,25,4,307,1000,664
4,1000,100,5,25,4,313,1000,681
1,1000,100,5,25,5,335,1000,866
3,1000,100,5,25,3,261,1000,445
7,1000,100,5,25,2,187,1000,225
2,1000,100,5,25,5,345,1000,910
6,1000,100,5,25,4,290,1000,583
4,1000,100,5,25,5,375,1000,994
6,1000,100,5,25,5,358,1000,873
3,1000,100,5,25,4,344,1000,706
8,1000,100,5,25,3,217,1000,378
5,1000,100,5,25,5,376,1000,971
2,1000,100,5,25,6,391,1000,1255
7,1000,100,5,25,3,240,1000,412
6,1000,100,5,25,6,393,1000,1231
3,1000,100,5,25,5,403,1000,1050
4,1000,100,5,25,6,434,1000,1369
5,1000,100,5,25,6,445,1000,1347
7,1000,100,5,25,4,319,1000,652
6,1000,100,5,25,7,440,1000,1624
8,1000,100,5,25,4,273,1000,595
7,1000,100,5,25,5,381,1000,971
3,1000,100,5,25,6,447,1000,1453
6,1000,100,5,25,8,498,1000,2064
4,1000,100,5,25,7,467,1000,1803
5,1000,100,5,25,7,511,1000,1792
8,1000,100,5,25,5,330,1000,868
2,1000,100,5,25,7,450,1000,1646
5,1000,100,5,25,8,547,1000,2303
8,1000,100,5,25,6,394,1000,1198
3,1000,100,5,25,7,516,1000,1900
4,1000,100,5,25,8,534,1000,2270
6,1000,100,5,25,9,548,1000,2562
7,1000,100,5,25,6,454,1000,1352
2,1000,100,5,25,8,510,1000,2096
5,1000,100,5,25,9,569,1000,2850
8,1000,100,5,25,7,467,1000,1592
4,1000,100,5,25,9,564,1000,2804
6,1000,100,5,25,10,568,1000,3110
2,1000,100,5,25,9,555,1000,2606
5,1000,100,5,25,10,604,1000,3419
8,1000,100,5,25,8,515,1000,2059
4,1000,100,5,25,10,594,1000,3368
6,1000,100,5,25,11,586,1000,3678
7,1000,100,5,25,7,494,1000,1806
2,1000,100,5,25,10,594,1000,3161
3,1000,100,5,25,8,572,1000,2416
5,1000,100,5,25,11,611,1000,4023
4,1000,100,5,25,11,612,1000,3962
6,1000,100,5,25,12,598,1000,4264
7,1000,100,5,25,8,539,1000,2300
2,1000,100,5,25,11,587,1000,3755
3,1000,100,5,25,9,618,1000,2988
8,1000,100,5,25,9,549,1000,2574
1,1000,100,5,25,6,401,1000,1201
7,1000,100,5,25,9,570,1000,2839
5,1000,100,5,25,12,642,1000,4634
8,1000,100,5,25,10,585,1000,3123
3,1000,100,5,25,10,658,1000,3606
8,1000,100,5,25,11,608,1000,3708
7,1000,100,5,25,10,594,1000,3409
5,1000,100,5,25,13,655,1000,5276
4,1000,100,5,25,12,603,1000,4574
5,1000,100,5,25,14,655,1000,5931
6,1000,100,5,25,13,591,1000,4862
1,1000,100,5,25,7,470,1000,1602
4,1000,100,5,25,13,620,1000,5177
5,1000,100,5,25,15,658,1000,6586
7,1000,100,5,25,11,627,1000,4003
8,1000,100,5,25,12,627,1000,4316
3,1000,100,5,25,11,682,1000,4264
6,1000,100,5,25,14,605,1000,5453
4,1000,100,5,25,14,635,1000,5797
5,1000,100,5,25,16,665,1000,7244
1,1000,100,5,25,8,490,1000,2072
2,1000,100,5,25,12,603,1000,4342
1,1000,100,5,25,9,528,1000,2562
8,1000,100,5,25,13,625,1000,4943
6,1000,100,5,25,15,626,1000,6058
4,1000,100,5,25,15,645,1000,6432
2,1000,100,5,25,13,620,1000,4945
1,1000,100,5,25,10,573,1000,3090
6,1000,100,5,25,16,623,1000,6684
5,1000,100,5,25,17,691,1000,7909
4,1000,100,5,25,16,643,1000,7077
8,1000,100,5,25,14,647,1000,5568
2,1000,100,5,25,14,647,1000,5565
6,1000,100,5,25,17,621,1000,7307
1,1000,100,5,25,11,592,1000,3663
4,1000,100,5,25,17,632,1000,7720
5,1000,100,5,25,18,682,1000,8600
2,1000,100,5,25,15,643,1000,6212
6,1000,100,5,25,18,609,1000,7928
1,1000,100,5,25,12,649,1000,4255
8,1000,100,5,25,15,640,1000,6215
5,1000,100,5,25,19,661,1000,9282
4,1000,100,5,25,18,650,1000,8352
2,1000,100,5,25,16,656,1000,6855
1,1000,100,5,25,13,645,1000,4904
6,1000,100,5,25,19,630,1000,8537
8,1000,100,5,25,16,621,1000,6855
4,1000,100,5,25,19,643,1000,9002
2,1000,100,5,25,17,648,1000,7511
1,1000,100,5,25,14,665,1000,5549
6,1000,100,5,25,20,613,1000,9167
5,1000,100,5,25,20,672,1000,9943
4,1000,100,5,25,20,628,1000,9645
1,1000,100,5,25,15,670,1000,6214
8,1000,100,5,25,17,623,1000,7476
2,1000,100,5,25,18,636,1000,8159
6,1000,100,5,25,21,619,1000,9780
2,1000,100,5,25,19,636,1000,8795
1,1000,100,5,25,16,657,1000,6884
6,1000,100,5,25,22,621,1000,10399
8,1000,100,5,25,18,641,1000,8099
5,1000,100,5,25,21,662,1000,10615
4,1000,100,5,25,21,639,1000,10273
1,1000,100,5,25,17,686,1000,7541
2,1000,100,5,25,20,632,1000,9431
7,1000,100,5,25,12,643,1000,4630
5,1000,100,5,25,22,683,1000,11277
8,1000,100,5,25,19,648,1000,8740
1,1000,100,5,25,18,686,1000,8227
6,1000,100,5,25,23,632,1000,11020
7,1000,100,5,25,13,631,1000,5273
4,1000,100,5,25,22,634,1000,10912
2,1000,100,5,25,21,641,1000,10063
5,1000,100,5,25,23,657,1000,11960
8,1000,100,5,25,20,658,1000,9388
1,1000,100,5,25,19,653,1000,8913
4,1000,100,5,25,23,653,1000,11546
7,1000,100,5,25,14,668,1000,5904
5,1000,100,5,25,24,666,1000,12617
2,1000,100,5,25,22,646,1000,10704
6,1000,100,5,25,24,638,1000,11652
1,1000,100,5,25,20,654,1000,9566
8,1000,100,5,25,21,664,1000,10046
7,1000,100,5,25,15,669,1000,6572
5,1000,100,5,25,25,654,1000,13283
2,1000,100,5,25,23,665,1000,11350
4,1000,100,5,25,24,669,1000,12199
6,1000,100,5,25,25,667,1000,12290
8,1000,100,5,25,22,631,1000,10710
1,1000,100,5,25,21,662,1000,10220
7,1000,100,5,25,16,646,1000,7241
2,1000,100,5,25,24,648,1000,12015
5,1000,100,5,25,26,669,1000,13937
4,1000,100,5,25,25,674,1000,12868
6,1000,100,5,25,26,662,1000,12957
8,1000,100,5,25,23,625,1000,11341
7,1000,100,5,25,17,659,1000,7887
5,1000,100,5,25,27,673,1000,14606
2,1000,100,5,25,25,667,1000,12663
6,1000,100,5,25,27,665,1000,13619
4,1000,100,5,25,26,657,1000,13542
8,1000,100,5,25,24,645,1000,11966
6,1000,100,5,25,28,685,1000,14284
7,1000,100,5,25,18,669,1000,8546
2,1000,100,5,25,26,688,1000,13330
5,1000,100,5,25,28,683,1000,15279
4,1000,100,5,25,27,653,1000,14199
8,1000,100,5,25,25,669,1000,12611
6,1000,100,5,25,29,665,1000,14969
2,1000,100,5,25,27,676,1000,14018
7,1000,100,5,25,19,651,1000,9215
4,1000,100,5,25,28,669,1000,14852
3,1000,100,5,25,12,665,1000,4946
1,1000,100,5,25,22,662,1000,10882
8,1000,100,5,25,26,649,1000,13280
4,1000,100,5,25,29,646,1000,15521
6,1000,100,5,25,30,676,1000,15634
3,1000,100,5,25,13,682,1000,5611
2,1000,100,5,25,28,655,1000,14694
5,1000,100,5,25,29,682,1000,15962
7,1000,100,5,25,20,658,1000,9866
8,1000,100,5,25,27,644,1000,13929
1,1000,100,5,25,23,660,1000,11544
4,1000,100,5,25,30,664,1000,16167
3,1000,100,5,25,14,676,1000,6293
5,1000,100,5,25,30,675,1000,16644
7,1000,100,5,25,21,648,1000,10524
1,1000,100,5,25,24,674,1000,12204
8,1000,100,5,25,28,629,1000,14573
4,1000,100,5,25,31,651,1000,16831
2,1000,100,5,25,29,669,1000,15349
3,1000,100,5,25,15,656,1000,6969
1,1000,100,5,25,25,663,1000,12878
7,1000,100,5,25,22,671,1000,11172
3,1000,100,5,25,16,671,1000,7625
8,1000,100,5,25,29,630,1000,15202
5,1000,100,5,25,31,660,1000,17319
6,1000,100,5,25,31,659,1000,16310
2,1000,100,5,25,30,671,1000,16018
4,1000,100,5,25,32,652,1000,17482
1,1000,100,5,25,26,642,1000,13541
8,1000,100,5,25,30,655,1000,15832
5,1000,100,5,25,32,698,1000,17979
7,1000,100,5,25,23,671,1000,11843
3,1000,100,5,25,17,652,1000,8296
4,1000,100,5,25,33,668,1000,18134
1,1000,100,5,25,27,670,1000,14183
6,1000,100,5,25,32,665,1000,16969
2,1000,100,5,25,31,683,1000,16689
8,1000,100,5,25,31,644,1000,16487
5,1000,100,5,25,33,690,1000,18677
1,1000,100,5,25,28,647,1000,14853
7,1000,100,5,25,24,666,1000,12514
3,1000,100,5,25,18,646,1000,8948
2,1000,100,5,25,32,680,1000,17372
4,1000,100,5,25,34,662,1000,18802
6,1000,100,5,25,33,652,1000,17634
1,1000,100,5,25,29,653,1000,15500
5,1000,100,5,25,34,659,1000,19367
3,1000,100,5,25,19,644,1000,9594
8,1000,100,5,25,32,651,1000,17131
7,1000,100,5,25,25,684,1000,13180
6,1000,100,5,25,34,647,1000,18286
2,1000,100,5,25,33,687,1000,18052
4,1000,100,5,25,35,649,1000,19464
5,1000,100,5,25,35,662,1000,20026
8,1000,100,5,25,33,650,1000,17782
4,1000,100,5,25,36,666,1000,20113
1,1000,100,5,25,30,652,1000,16153
3,1000,100,5,25,20,662,1000,10238
7,1000,100,5,25,26,677,1000,13864
6,1000,100,5,25,35,656,1000,18933
8,1000,100,5,25,34,631,1000,18432
5,1000,100,5,25,36,660,1000,20688
4,1000,100,5,25,37,662,1000,20779
2,1000,100,5,25,34,695,1000,18739
8,1000,100,5,25,35,632,1000,19063
1,1000,100,5,25,31,660,1000,16805
4,1000,100,5,25,38,669,1000,21441
3,1000,100,5,25,21,662,1000,10900
7,1000,100,5,25,27,671,1000,14541
5,1000,100,5,25,37,661,1000,21348
4,1000,100,5,25,39,666,1000,22110
8,1000,100,5,25,36,653,1000,19695
5,1000,100,5,25,38,669,1000,22009
1,1000,100,5,25,32,647,1000,17465
6,1000,100,5,25,36,648,1000,19589
2,1000,100,5,25,35,682,1000,19434
7,1000,100,5,25,28,668,1000,15212
3,1000,100,5,25,22,677,1000,11562
4,1000,100,5,25,40,663,1000,22776
8,1000,100,5,25,37,663,1000,20348
1,1000,100,5,25,33,673,1000,18112
5,1000,100,5,25,39,660,1000,22678
2,1000,100,5,25,36,655,1000,20116
8,1000,100,5,25,38,658,1000,21011
6,1000,100,5,25,37,664,1000,20237
4,1000,100,5,25,41,668,1000,23439
7,1000,100,5,25,29,658,1000,15880
5,1000,100,5,25,40,664,1000,23338
1,1000,100,5,25,34,692,1000,18785
6,1000,100,5,25,38,661,1000,20901
3,1000,100,5,25,23,661,1000,12239
8,1000,100,5,25,39,645,1000,21669
4,1000,100,5,25,42,681,1000,24107
2,1000,100,5,25,37,688,1000,20771
1,1000,100,5,25,35,673,1000,19477
5,1000,100,5,25,41,644,1000,24002
8,1000,100,5,25,40,660,1000,22314
6,1000,100,5,25,39,655,1000,21562
2,1000,100,5,25,38,695,1000,21459
4,1000,100,5,25,43,689,1000,24788
3,1000,100,5,25,24,684,1000,12900
5,1000,100,5,25,42,653,1000,24646
1,1000,100,5,25,36,674,1000,20150
8,1000,100,5,25,41,672,1000,22974
6,1000,100,5,25,40,652,1000,22217
7,1000,100,5,25,30,644,1000,16538
2,1000,100,5,25,39,682,1000,22154
3,1000,100,5,25,25,679,1000,13584
4,1000,100,5,25,44,681,1000,25477
5,1000,100,5,25,43,629,1000,25299
1,1000,100,5,25,37,679,1000,20824
8,1000,100,5,25,42,658,1000,23646
2,1000,100,5,25,40,686,1000,22836
6,1000,100,5,25,41,650,1000,22869
7,1000,100,5,25,31,643,1000,17182
4,1000,100,5,25,45,676,1000,26158
5,1000,100,5,25,44,640,1000,25928
3,1000,100,5,25,26,668,1000,14263
1,1000,100,5,25,38,678,1000,21503
6,1000,100,5,25,42,639,1000,23519
8,1000,100,5,25,43,653,1000,24304
2,1000,100,5,25,41,694,1000,23522
7,1000,100,5,25,32,652,1000,17825
4,1000,100,5,25,46,642,1000,26834
5,1000,100,5,25,45,644,1000,26568
3,1000,100,5,25,27,675,1000,14931
1,1000,100,5,25,39,673,1000,22181
2,1000,100,5,25,42,692,1000,24216
6,1000,100,5,25,43,632,1000,24158
8,1000,100,5,25,44,669,1000,24957
7,1000,100,5,25,33,674,1000,18477
4,1000,100,5,25,47,672,1000,27476
5,1000,100,5,25,46,651,1000,27212
1,1000,100,5,25,40,654,1000,22854
3,1000,100,5,25,28,656,1000,15606
2,1000,100,5,25,43,695,1000,24908
6,1000,100,5,25,44,625,1000,24790
7,1000,100,5,25,34,673,1000,19151
8,1000,100,5,25,45,671,1000,25626
4,1000,100,5,25,48,663,1000,28148
5,1000,100,5,25,47,652,1000,27863
6,1000,100,5,25,45,624,1000,25415
3,1000,100,5,25,29,658,1000,16262
2,1000,100,5,25,44,679,1000,25603
7,1000,100,5,25,35,660,1000,19824
1,1000,100,5,25,41,665,1000,23508
8,1000,100,5,25,46,650,1000,26297
5,1000,100,5,25,48,641,1000,28515
4,1000,100,5,25,49,666,1000,28811
6,1000,100,5,25,46,627,1000,26039
7,1000,100,5,25,36,645,1000,20484
3,1000,100,5,25,30,658,1000,16920
2,1000,100,5,25,45,662,1000,26282
1,1000,100,5,25,42,651,1000,24173
8,1000,100,5,25,47,661,1000,26947
5,1000,100,5,25,49,645,1000,29156
6,1000,100,5,25,47,618,1000,26666
7,1000,100,5,25,37,658,1000,21129
3,1000,100,5,25,31,664,1000,17578
4,1000,100,5,25,50,667,1000,29477
8,1000,100,5,25,48,653,1000,27608
1,1000,100,5,25,43,640,1000,24824
2,1000,100,5,25,46,691,1000,26944
6,1000,100,5,25,48,633,1000,27284
7,1000,100,5,25,38,661,1000,21787
5,1000,100,5,25,50,659,1000,29801
3,1000,100,5,25,32,671,1000,18242
1,1000,100,5,25,44,658,1000,25464
4,1000,100,5,25,51,659,1000,30144
8,1000,100,5,25,49,646,1000,28261
2,1000,100,5,25,47,653,1000,27635
6,1000,100,5,25,49,628,1000,27917
3,1000,100,5,25,33,668,1000,18913
7,1000,100,5,25,39,662,1000,22448
5,1000,100,5,25,51,669,1000,30460
4,1000,100,5,25,52,659,1000,30803
1,1000,100,5,25,45,655,1000,26122
2,1000,100,5,25,48,653,1000,28288
8,1000,100,5,25,50,625,1000,28907
3,1000,100,5,25,34,673,1000,19581
6,1000,100,5,25,50,653,1000,28545
7,1000,100,5,25,40,653,1000,23110
1,1000,100,5,25,46,661,1000,26777
6,1000,100,5,25,51,630,1000,29198
3,1000,100,5,25,35,666,1000,20254
7,1000,100,5,25,41,658,1000,23763
5,1000,100,5,25,52,663,1000,31129
4,1000,100,5,25,53,638,1000,31462
8,1000,100,5,25,51,628,1000,29532
1,1000,100,5,25,47,665,1000,27438
6,1000,100,5,25,52,626,1000,29828
3,1000,100,5,25,36,675,1000,20920
8,1000,100,5,25,52,613,1000,30160
5,1000,100,5,25,53,669,1000,31792
4,1000,100,5,25,54,639,1000,32100
1,1000,100,5,25,48,679,1000,28103
7,1000,100,5,25,42,649,1000,24421
6,1000,100,5,25,53,634,1000,30454
3,1000,100,5,25,37,688,1000,21595
5,1000,100,5,25,54,668,1000,32461
8,1000,100,5,25,53,610,1000,30773
1,1000,100,5,25,49,663,1000,28782
7,1000,100,5,25,43,642,1000,25070
6,1000,100,5,25,54,655,1000,31088
4,1000,100,5,25,55,640,1000,32739
3,1000,100,5,25,38,697,1000,22283
1,1000,100,5,25,50,662,1000,29445
7,1000,100,5,25,44,644,1000,25712
5,1000,100,5,25,55,678,1000,33129
6,1000,100,5,25,55,641,1000,31743
