[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles
7,100,11,50,50,12,0,100
8,100,11,50,50,14,0,100
4,100,1,50,50,27,0,100
6,100,11,50,50,20,0,100
2,100,1,50,50,17,0,100
1,100,1,50,50,47,0,100
3,100,1,50,50,39,0,100
5,100,1,50,50,21,0,100
4,100,1,50,50,28,0,100
6,100,11,50,50,21,0,100
8,100,11,50,50,15,0,100
7,100,11,50,50,13,0,100
5,100,1,50,50,22,0,100
3,100,1,50,50,40,0,100
2,100,1,50,50,18,0,100
1,100,1,50,50,48,0,100
8,100,11,50,50,16,0,100
5,100,1,50,50,23,0,100
3,100,1,50,50,41,0,100
6,100,11,50,50,22,0,100
7,100,11,50,50,14,0,100
4,100,1,50,50,29,0,100
2,100,1,50,50,19,0,100
3,100,1,50,50,42,0,100
8,100,11,50,50,17,0,100
1,100,1,50,50,49,0,100
5,100,1,50,50,24,0,100
4,100,1,50,50,30,0,100
6,100,11,50,50,23,0,100
7,100,11,50,50,15,0,100
2,100,1,50,50,20,0,100
3,100,1,50,50,43,0,100
5,100,1,50,50,25,0,100
1,100,1,50,50,50,0,100
4,100,1,50,50,31,0,100
8,100,11,50,50,18,0,100
3,100,1,50,50,44,0,100
7,100,11,50,50,16,0,100
6,100,11,50,50,24,0,100
2,100,1,50,50,21,0,100
4,100,1,50,50,32,0,100
5,100,1,50,50,26,0,100
3,100,1,50,50,45,0,100
1,100,1,50,50,51,0,100
8,100,11,50,50,19,0,100
7,100,11,50,50,17,0,100
4,100,1,50,50,33,0,100
2,100,1,50,50,22,0,100
6,100,11,50,50,25,0,100
1,100,1,50,50,52,0,100
3,100,1,50,50,46,0,100
5,100,1,50,50,27,0,100
8,100,11,50,50,20,0,100
4,100,1,50,50,34,0,100
1,100,1,50,50,53,0,100
7,100,11,50,50,18,0,100
2,100,1,50,50,23,0,100
6,100,11,50,50,26,0,100
3,100,1,50,50,47,0,100
4,100,1,50,50,35,0,100
5,100,1,50,50,28,0,100
8,100,11,50,50,21,0,100
1,100,1,50,50,54,0,100
6,100,11,50,50,27,0,100
2,100,1,50,50,24,0,100
7,100,11,50,50,19,0,100
3,100,1,50,50,48,0,100
4,100,1,50,50,36,0,100
5,100,1,50,50,29,0,100
8,100,11,50,50,22,0,100
2,100,1,50,50,25,0,100
3,100,1,50,50,49,0,100
1,100,1,50,50,55,0,100
6,100,11,50,50,28,0,100
7,100,11,50,50,20,0,100
3,100,1,50,50,50,0,100
4,100,1,50,50,37,0,100
5,100,1,50,50,30,0,100
3,100,1,50,50,51,0,100
7,100,11,50,50,21,0,100
2,100,1,50,50,26,0,100
8,100,11,50,50,23,0,100
1,100,1,50,50,56,0,100
4,100,1,50,50,38,0,100
3,100,1,50,50,52,0,100
6,100,11,50,50,29,0,100
4,100,1,50,50,39,0,100
3,100,1,50,50,53,0,100
5,100,1,50,50,31,0,100
1,100,1,50,50,57,0,100
7,100,11,50,50,22,0,100
3,100,1,50,50,54,0,100
4,100,1,50,50,40,0,100
1,100,1,50,50,58,0,100
6,100,11,50,50,30,0,100
8,100,11,50,50,24,0,100
5,100,1,50,50,32,0,100
3,100,1,50,50,55,0,100
4,100,1,50,50,41,0,100
2,100,1,50,50,27,0,100
5,100,1,50,50,33,0,100
1,100,1,50,50,59,0,100
7,100,11,50,50,23,0,100
4,100,1,50,50,42,0,100
3,100,1,50,50,56,0,100
8,100,11,50,50,25,0,100
2,100,1,50,50,28,0,100
4,100,1,50,50,43,0,100
6,100,11,50,50,31,0,100
7,100,11,50,50,24,0,100
3,100,1,50,50,57,0,100
1,100,1,50,50,60,0,100
5,100,1,50,50,34,0,100
4,100,1,50,50,44,0,100
6,100,11,50,50,32,0,100
1,100,1,50,50,61,0,100
8,100,11,50,50,26,0,100
2,100,1,50,50,29,0,100
5,100,1,50,50,35,0,100
4,100,1,50,50,45,0,100
3,100,1,50,50,58,0,100
7,100,11,50,50,25,0,100
1,100,1,50,50,62,0,100
4,100,1,50,50,46,0,100
5,100,1,50,50,36,0,100
6,100,11,50,50,33,0,100
8,100,11,50,50,27,0,100
2,100,1,50,50,30,0,100
3,100,1,50,50,59,0,100
1,100,1,50,50,63,0,100
4,100,1,50,50,47,0,100
5,100,1,50,50,37,0,100
7,100,11,50,50,26,0,100
6,100,11,50,50,34,0,100
3,100,1,50,50,60,0,100
4,100,1,50,50,48,0,100
1,100,1,50,50,64,0,100
2,100,1,50,50,31,0,100
8,100,11,50,50,28,0,100
5,100,1,50,50,38,0,100
4,100,1,50,50,49,0,100
3,100,1,50,50,61,0,100
7,100,11,50,50,27,0,100
1,100,1,50,50,65,0,100
6,100,11,50,50,35,0,100
4,100,1,50,50,50,0,100
2,100,1,50,50,32,0,100
8,100,11,50,50,29,0,100
3,100,1,50,50,62,0,100
5,100,1,50,50,39,0,100
1,100,1,50,50,66,0,100
3,100,1,50,50,63,0,100
4,100,1,50,50,51,0,100
5,100,1,50,50,40,0,100
2,100,1,50,50,33,0,100
8,100,11,50,50,30,0,100
3,100,1,50,50,64,0,100
5,100,1,50,50,41,0,100
2,100,1,50,50,34,0,100
7,100,11,50,50,28,0,100
6,100,11,50,50,36,0,100
8,100,11,50,50,31,0,100
3,100,1,50,50,65,0,100
4,100,1,50,50,52,0,100
4,100,1,50,50,53,0,100
6,100,11,50,50,37,0,100
