[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
5,1000,100,50,10,25,373,514,1000,5584
3,1000,100,50,10,22,372,497,1000,5239
2,1000,100,50,10,26,374,497,1000,6739
1,1000,100,50,10,21,391,477,1000,5502
4,1000,100,50,10,26,383,520,1000,6301
5,1000,100,50,10,26,377,514,1000,5957
3,1000,100,50,10,23,390,497,1000,5611
2,1000,100,50,10,27,390,497,1000,7113
1,1000,100,50,10,22,400,477,1000,5893
4,1000,100,50,10,27,366,520,1000,6684
5,1000,100,50,10,27,378,514,1000,6334
2,1000,100,50,10,28,380,497,1000,7503
3,1000,100,50,10,24,374,497,1000,6001
1,1000,100,50,10,23,389,477,1000,6293
4,1000,100,50,10,28,361,520,1000,7050
5,1000,100,50,10,28,371,514,1000,6712
3,1000,100,50,10,25,365,497,1000,6375
2,1000,100,50,10,29,380,497,1000,7883
4,1000,100,50,10,29,359,520,1000,7411
5,1000,100,50,10,29,376,514,1000,7083
1,1000,100,50,10,24,402,477,1000,6682
2,1000,100,50,10,30,373,497,1000,8263
3,1000,100,50,10,26,355,497,1000,6740
1,1000,100,50,10,25,393,477,1000,7084
5,1000,100,50,10,30,372,514,1000,7459
4,1000,100,50,10,30,357,520,1000,7770
3,1000,100,50,10,27,364,497,1000,7095
1,1000,100,50,10,26,396,477,1000,7477
2,1000,100,50,10,31,378,497,1000,8636
4,1000,100,50,10,31,360,520,1000,8127
3,1000,100,50,10,28,353,497,1000,7459
1,1000,100,50,10,27,382,477,1000,7873
2,1000,100,50,10,32,372,497,1000,9014
4,1000,100,50,10,32,368,520,1000,8487
1,1000,100,50,10,28,396,477,1000,8255
2,1000,100,50,10,33,363,497,1000,9386
4,1000,100,50,10,33,360,520,1000,8855
5,1000,100,50,10,31,382,514,1000,7831
1,1000,100,50,10,29,398,477,1000,8651
3,1000,100,50,10,29,372,497,1000,7812
2,1000,100,50,10,34,361,497,1000,9749
4,1000,100,50,10,34,365,520,1000,9215
1,1000,100,50,10,30,400,477,1000,9049
2,1000,100,50,10,35,359,497,1000,10110
5,1000,100,50,10,32,382,514,1000,8213
3,1000,100,50,10,30,376,497,1000,8184
2,1000,100,50,10,36,369,497,1000,10469
1,1000,100,50,10,31,408,477,1000,9449
4,1000,100,50,10,35,369,520,1000,9580
5,1000,100,50,10,33,386,514,1000,8595
3,1000,100,50,10,31,367,497,1000,8560
2,1000,100,50,10,37,380,497,1000,10838
1,1000,100,50,10,32,404,477,1000,9857
5,1000,100,50,10,34,386,514,1000,8981
4,1000,100,50,10,36,374,520,1000,9949
3,1000,100,50,10,32,374,497,1000,8927
2,1000,100,50,10,38,389,497,1000,11218
1,1000,100,50,10,33,406,477,1000,10261
5,1000,100,50,10,35,378,514,1000,9367
4,1000,100,50,10,37,364,520,1000,10323
3,1000,100,50,10,33,373,497,1000,9301
2,1000,100,50,10,39,380,497,1000,11607
1,1000,100,50,10,34,415,477,1000,10667
5,1000,100,50,10,36,374,514,1000,9745
4,1000,100,50,10,38,365,520,1000,10687
3,1000,100,50,10,34,384,497,1000,9674
1,1000,100,50,10,35,416,477,1000,11082
2,1000,100,50,10,40,369,497,1000,11987
5,1000,100,50,10,37,366,514,1000,10119
4,1000,100,50,10,39,357,520,1000,11052
3,1000,100,50,10,35,378,497,1000,10058
1,1000,100,50,10,36,413,477,1000,11498
2,1000,100,50,10,41,365,497,1000,12356
5,1000,100,50,10,38,382,514,1000,10485
4,1000,100,50,10,40,351,520,1000,11409
3,1000,100,50,10,36,377,497,1000,10436
1,1000,100,50,10,37,406,477,1000,11911
5,1000,100,50,10,39,378,514,1000,10867
2,1000,100,50,10,42,366,497,1000,12721
4,1000,100,50,10,41,353,520,1000,11760
