[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
1,1000,100,50,10,21,328,516,1000,4326
1,1000,100,50,10,22,341,516,1000,4654
4,1000,100,50,10,15,310,514,1000,2541
6,1000,100,50,10,13,293,502,1000,2052
3,1000,100,50,10,14,360,491,1000,2903
7,1000,100,50,10,26,378,481,1000,6756
5,1000,100,50,10,22,375,507,1000,5454
2,1000,100,50,10,13,327,488,1000,2282
8,1000,100,50,10,15,276,513,1000,2343
1,1000,100,50,10,23,351,516,1000,4995
5,1000,100,50,10,23,374,507,1000,5829
7,1000,100,50,10,27,388,481,1000,7134
4,1000,100,50,10,16,337,514,1000,2851
7,1000,100,50,10,28,392,481,1000,7522
1,1000,100,50,10,24,367,516,1000,5346
8,1000,100,50,10,16,296,513,1000,2619
6,1000,100,50,10,14,306,502,1000,2345
5,1000,100,50,10,24,371,507,1000,6203
2,1000,100,50,10,14,331,488,1000,2609
3,1000,100,50,10,15,365,491,1000,3263
4,1000,100,50,10,17,336,514,1000,3188
8,1000,100,50,10,17,312,513,1000,2915
1,1000,100,50,10,25,364,516,1000,5713
5,1000,100,50,10,25,384,507,1000,6574
7,1000,100,50,10,29,388,481,1000,7914
4,1000,100,50,10,18,348,514,1000,3524
6,1000,100,50,10,15,315,502,1000,2651
8,1000,100,50,10,18,323,513,1000,3227
5,1000,100,50,10,26,380,507,1000,6958
1,1000,100,50,10,26,379,516,1000,6077
7,1000,100,50,10,30,401,481,1000,8302
2,1000,100,50,10,15,349,488,1000,2940
3,1000,100,50,10,16,378,491,1000,3628
1,1000,100,50,10,27,375,516,1000,6456
4,1000,100,50,10,19,353,514,1000,3872
1,1000,100,50,10,28,381,516,1000,6831
7,1000,100,50,10,31,396,481,1000,8703
6,1000,100,50,10,16,324,502,1000,2966
4,1000,100,50,10,20,362,514,1000,4225
8,1000,100,50,10,19,332,513,1000,3550
2,1000,100,50,10,16,368,488,1000,3289
5,1000,100,50,10,27,379,507,1000,7338
3,1000,100,50,10,17,386,491,1000,4006
1,1000,100,50,10,29,377,516,1000,7212
7,1000,100,50,10,32,400,481,1000,9099
8,1000,100,50,10,20,332,513,1000,3882
5,1000,100,50,10,28,378,507,1000,7717
6,1000,100,50,10,17,331,502,1000,3290
7,1000,100,50,10,33,407,481,1000,9499
2,1000,100,50,10,17,372,488,1000,3657
1,1000,100,50,10,30,376,516,1000,7589
8,1000,100,50,10,21,347,513,1000,4214
7,1000,100,50,10,34,399,481,1000,9906
3,1000,100,50,10,18,386,491,1000,4392
5,1000,100,50,10,29,371,507,1000,8095
1,1000,100,50,10,31,358,516,1000,7965
7,1000,100,50,10,35,409,481,1000,10305
5,1000,100,50,10,30,364,507,1000,8466
6,1000,100,50,10,18,337,502,1000,3621
1,1000,100,50,10,32,362,516,1000,8323
2,1000,100,50,10,18,371,488,1000,4029
7,1000,100,50,10,36,408,481,1000,10714
5,1000,100,50,10,31,374,507,1000,8830
1,1000,100,50,10,33,365,516,1000,8685
7,1000,100,50,10,37,395,481,1000,11122
5,1000,100,50,10,32,382,507,1000,9204
2,1000,100,50,10,19,381,488,1000,4400
4,1000,100,50,10,21,360,514,1000,4587
1,1000,100,50,10,34,368,516,1000,9050
7,1000,100,50,10,38,383,481,1000,11517
5,1000,100,50,10,33,389,507,1000,9586
3,1000,100,50,10,19,388,491,1000,4778
6,1000,100,50,10,19,335,502,1000,3958
1,1000,100,50,10,35,372,516,1000,9418
5,1000,100,50,10,34,381,507,1000,9975
3,1000,100,50,10,20,392,491,1000,5166
6,1000,100,50,10,20,356,502,1000,4293
8,1000,100,50,10,22,346,513,1000,4561
7,1000,100,50,10,39,389,481,1000,11900
4,1000,100,50,10,22,365,514,1000,4947
5,1000,100,50,10,35,374,507,1000,10356
1,1000,100,50,10,36,370,516,1000,9790
8,1000,100,50,10,23,349,513,1000,4907
5,1000,100,50,10,36,366,507,1000,10730
3,1000,100,50,10,21,391,491,1000,5558
6,1000,100,50,10,21,364,502,1000,4649
4,1000,100,50,10,23,368,514,1000,5312
5,1000,100,50,10,37,369,507,1000,11096
8,1000,100,50,10,24,348,513,1000,5256
3,1000,100,50,10,22,392,491,1000,5949
6,1000,100,50,10,22,363,502,1000,5013
4,1000,100,50,10,24,372,514,1000,5680
5,1000,100,50,10,38,372,507,1000,11465
8,1000,100,50,10,25,356,513,1000,5604
6,1000,100,50,10,23,378,502,1000,5376
3,1000,100,50,10,23,384,491,1000,6341
4,1000,100,50,10,25,367,514,1000,6052
7,1000,100,50,10,40,386,481,1000,12289
6,1000,100,50,10,24,382,502,1000,5754
8,1000,100,50,10,26,354,513,1000,5960
3,1000,100,50,10,24,381,491,1000,6725
5,1000,100,50,10,39,368,507,1000,11837
4,1000,100,50,10,26,378,514,1000,6419
7,1000,100,50,10,41,391,481,1000,12675
6,1000,100,50,10,25,377,502,1000,6136
3,1000,100,50,10,25,376,491,1000,7106
8,1000,100,50,10,27,353,513,1000,6314
2,1000,100,50,10,20,397,488,1000,4781
7,1000,100,50,10,42,388,481,1000,13066
4,1000,100,50,10,27,358,514,1000,6797
5,1000,100,50,10,40,373,507,1000,12205
6,1000,100,50,10,26,379,502,1000,6513
7,1000,100,50,10,43,390,481,1000,13454
3,1000,100,50,10,26,366,491,1000,7482
8,1000,100,50,10,28,358,513,1000,6667
2,1000,100,50,10,21,394,488,1000,5178
4,1000,100,50,10,28,358,514,1000,7155
5,1000,100,50,10,41,349,507,1000,12578
6,1000,100,50,10,27,374,502,1000,6892
2,1000,100,50,10,22,386,488,1000,5572
7,1000,100,50,10,44,399,481,1000,13844
8,1000,100,50,10,29,350,513,1000,7025
5,1000,100,50,10,42,354,507,1000,12927
4,1000,100,50,10,29,356,514,1000,7513
7,1000,100,50,10,45,389,481,1000,14243
3,1000,100,50,10,27,361,491,1000,7848
6,1000,100,50,10,28,380,502,1000,7266
2,1000,100,50,10,23,385,488,1000,5958
4,1000,100,50,10,30,348,514,1000,7869
7,1000,100,50,10,46,396,481,1000,14632
8,1000,100,50,10,30,351,513,1000,7375
5,1000,100,50,10,43,356,507,1000,13281
3,1000,100,50,10,28,356,491,1000,8209
6,1000,100,50,10,29,372,502,1000,7646
7,1000,100,50,10,47,398,481,1000,15028
4,1000,100,50,10,31,357,514,1000,8217
8,1000,100,50,10,31,357,513,1000,7726
2,1000,100,50,10,24,376,488,1000,6343
5,1000,100,50,10,44,359,507,1000,13637
3,1000,100,50,10,29,368,491,1000,8565
6,1000,100,50,10,30,370,502,1000,8018
7,1000,100,50,10,48,406,481,1000,15426
4,1000,100,50,10,32,353,514,1000,8574
5,1000,100,50,10,45,350,507,1000,13996
8,1000,100,50,10,32,356,513,1000,8083
4,1000,100,50,10,33,349,514,1000,8927
2,1000,100,50,10,25,377,488,1000,6719
3,1000,100,50,10,30,365,491,1000,8933
7,1000,100,50,10,49,405,481,1000,15832
5,1000,100,50,10,46,349,507,1000,14346
6,1000,100,50,10,31,368,502,1000,8388
4,1000,100,50,10,34,344,514,1000,9276
8,1000,100,50,10,33,363,513,1000,8439
2,1000,100,50,10,26,384,488,1000,7096
3,1000,100,50,10,31,379,491,1000,9298
7,1000,100,50,10,50,399,481,1000,16237
6,1000,100,50,10,32,377,502,1000,8756
2,1000,100,50,10,27,391,488,1000,7480
4,1000,100,50,10,35,341,514,1000,9620
5,1000,100,50,10,47,353,507,1000,14695
8,1000,100,50,10,34,354,513,1000,8802
3,1000,100,50,10,32,373,491,1000,9677
7,1000,100,50,10,51,399,481,1000,16636
5,1000,100,50,10,48,351,507,1000,15048
6,1000,100,50,10,33,376,502,1000,9133
4,1000,100,50,10,36,352,514,1000,9961
8,1000,100,50,10,35,357,513,1000,9156
2,1000,100,50,10,28,386,488,1000,7871
1,1000,100,50,10,37,371,516,1000,10160
3,1000,100,50,10,33,396,491,1000,10050
7,1000,100,50,10,52,388,481,1000,17035
5,1000,100,50,10,49,348,507,1000,15399
4,1000,100,50,10,37,353,514,1000,10313
2,1000,100,50,10,29,398,488,1000,8257
6,1000,100,50,10,34,375,502,1000,9509
8,1000,100,50,10,36,358,513,1000,9513
1,1000,100,50,10,38,365,516,1000,10531
5,1000,100,50,10,50,339,507,1000,15747
7,1000,100,50,10,53,397,481,1000,17423
3,1000,100,50,10,34,384,491,1000,10446
8,1000,100,50,10,37,349,513,1000,9871
4,1000,100,50,10,38,341,514,1000,10666
6,1000,100,50,10,35,384,502,1000,9884
1,1000,100,50,10,39,364,516,1000,10896
2,1000,100,50,10,30,387,488,1000,8655
7,1000,100,50,10,54,402,481,1000,17820
3,1000,100,50,10,35,386,491,1000,10830
5,1000,100,50,10,51,351,507,1000,16086
1,1000,100,50,10,40,366,516,1000,11260
6,1000,100,50,10,36,385,502,1000,10268
4,1000,100,50,10,39,343,514,1000,11007
2,1000,100,50,10,31,392,488,1000,9042
3,1000,100,50,10,36,380,491,1000,11216
8,1000,100,50,10,38,343,513,1000,10220
7,1000,100,50,10,55,393,481,1000,18222
5,1000,100,50,10,52,356,507,1000,16437
1,1000,100,50,10,41,352,516,1000,11626
5,1000,100,50,10,53,368,507,1000,16793
8,1000,100,50,10,39,359,513,1000,10563
7,1000,100,50,10,56,386,481,1000,18615
6,1000,100,50,10,37,384,502,1000,10653
1,1000,100,50,10,42,369,516,1000,11978
2,1000,100,50,10,32,388,488,1000,9434
3,1000,100,50,10,37,373,491,1000,11596
5,1000,100,50,10,54,377,507,1000,17161
7,1000,100,50,10,57,392,481,1000,19001
4,1000,100,50,10,40,351,514,1000,11350
8,1000,100,50,10,40,376,513,1000,10922
2,1000,100,50,10,33,391,488,1000,9822
1,1000,100,50,10,43,357,516,1000,12347
3,1000,100,50,10,38,375,491,1000,11969
6,1000,100,50,10,38,385,502,1000,11037
5,1000,100,50,10,55,375,507,1000,17538
7,1000,100,50,10,58,389,481,1000,19393
2,1000,100,50,10,34,390,488,1000,10213
1,1000,100,50,10,44,362,516,1000,12704
4,1000,100,50,10,41,359,514,1000,11701
3,1000,100,50,10,39,392,491,1000,12344
8,1000,100,50,10,41,386,513,1000,11298
6,1000,100,50,10,39,382,502,1000,11422
5,1000,100,50,10,56,369,507,1000,17913
1,1000,100,50,10,45,368,516,1000,13066
7,1000,100,50,10,59,402,481,1000,19782
2,1000,100,50,10,35,390,488,1000,10603
4,1000,100,50,10,42,360,514,1000,12060
6,1000,100,50,10,40,384,502,1000,11804
8,1000,100,50,10,42,372,513,1000,11684
3,1000,100,50,10,40,392,491,1000,12736
5,1000,100,50,10,57,377,507,1000,18282
4,1000,100,50,10,43,350,514,1000,12420
2,1000,100,50,10,36,398,488,1000,10993
1,1000,100,50,10,46,361,516,1000,13434
6,1000,100,50,10,41,381,502,1000,12188
8,1000,100,50,10,43,373,513,1000,12056
3,1000,100,50,10,41,389,491,1000,13128
5,1000,100,50,10,58,382,507,1000,18659
7,1000,100,50,10,60,398,481,1000,20184
4,1000,100,50,10,44,353,514,1000,12770
1,1000,100,50,10,47,353,516,1000,13795
6,1000,100,50,10,42,382,502,1000,12569
2,1000,100,50,10,37,396,488,1000,11391
8,1000,100,50,10,44,364,513,1000,12429
5,1000,100,50,10,59,371,507,1000,19041
3,1000,100,50,10,42,394,491,1000,13517
5,1000,100,50,10,60,367,507,1000,19412
1,1000,100,50,10,48,355,516,1000,14148
4,1000,100,50,10,45,363,514,1000,13123
6,1000,100,50,10,43,385,502,1000,12951
8,1000,100,50,10,45,367,513,1000,12793
7,1000,100,50,10,61,403,481,1000,20582
2,1000,100,50,10,38,396,488,1000,11787
3,1000,100,50,10,43,397,491,1000,13911
4,1000,100,50,10,46,377,514,1000,13486
6,1000,100,50,10,44,368,502,1000,13336
1,1000,100,50,10,49,357,516,1000,14503
8,1000,100,50,10,46,361,513,1000,13160
2,1000,100,50,10,39,394,488,1000,12183
7,1000,100,50,10,62,410,481,1000,20985
5,1000,100,50,10,61,369,507,1000,19779
6,1000,100,50,10,45,361,502,1000,13704
4,1000,100,50,10,47,376,514,1000,13863
3,1000,100,50,10,44,390,491,1000,14308
1,1000,100,50,10,50,366,516,1000,14860
8,1000,100,50,10,47,364,513,1000,13521
7,1000,100,50,10,63,398,481,1000,21395
5,1000,100,50,10,62,373,507,1000,20148
2,1000,100,50,10,40,400,488,1000,12577
4,1000,100,50,10,48,370,514,1000,14239
6,1000,100,50,10,46,361,502,1000,14065
3,1000,100,50,10,45,401,491,1000,14698
8,1000,100,50,10,48,356,513,1000,13885
7,1000,100,50,10,64,386,481,1000,21793
1,1000,100,50,10,51,368,516,1000,15226
5,1000,100,50,10,63,377,507,1000,20521
4,1000,100,50,10,49,369,514,1000,14609
8,1000,100,50,10,49,355,513,1000,14241
6,1000,100,50,10,47,370,502,1000,14426
7,1000,100,50,10,65,388,481,1000,22179
3,1000,100,50,10,46,397,491,1000,15099
1,1000,100,50,10,52,355,516,1000,15594
5,1000,100,50,10,64,375,507,1000,20898
2,1000,100,50,10,41,402,488,1000,12977
