[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
6,100,11,50,50,20,0,100,14
8,100,11,50,50,20,0,100,16
4,100,1,50,50,22,0,100,2
7,100,11,50,50,20,0,100,16
5,100,1,50,50,23,0,100,1
2,100,1,50,50,23,0,100,0
1,100,1,50,50,26,0,100,1
6,100,11,50,50,21,0,100,14
3,100,1,50,50,20,0,100,1
8,100,11,50,50,21,0,100,16
4,100,1,50,50,23,0,100,2
5,100,1,50,50,24,0,100,1
2,100,1,50,50,24,0,100,0
1,100,1,50,50,27,0,100,1
5,100,1,50,50,25,0,100,1
6,100,11,50,50,22,0,100,14
4,100,1,50,50,24,0,100,2
7,100,11,50,50,21,0,100,16
3,100,1,50,50,21,0,100,1
8,100,11,50,50,22,0,100,16
1,100,1,50,50,28,0,100,1
6,100,11,50,50,23,0,100,14
5,100,1,50,50,26,0,100,1
2,100,1,50,50,25,0,100,0
4,100,1,50,50,25,0,100,2
7,100,11,50,50,22,0,100,16
3,100,1,50,50,22,0,100,1
5,100,1,50,50,27,0,100,1
2,100,1,50,50,26,0,100,0
6,100,11,50,50,24,0,100,14
8,100,11,50,50,23,0,100,16
7,100,11,50,50,23,0,100,16
4,100,1,50,50,26,0,100,2
3,100,1,50,50,23,0,100,1
2,100,1,50,50,27,0,100,0
5,100,1,50,50,28,0,100,1
8,100,11,50,50,24,0,100,16
4,100,1,50,50,27,0,100,2
7,100,11,50,50,24,0,100,16
6,100,11,50,50,25,0,100,14
2,100,1,50,50,28,0,100,0
3,100,1,50,50,24,0,100,1
5,100,1,50,50,29,0,100,1
6,100,11,50,50,26,0,100,14
2,100,1,50,50,29,0,100,0
8,100,11,50,50,25,0,100,16
7,100,11,50,50,25,0,100,16
4,100,1,50,50,28,0,100,2
3,100,1,50,50,25,0,100,1
6,100,11,50,50,27,0,100,14
5,100,1,50,50,30,0,100,1
2,100,1,50,50,30,0,100,0
6,100,11,50,50,28,0,100,14
5,100,1,50,50,31,0,100,1
8,100,11,50,50,26,0,100,16
4,100,1,50,50,29,0,100,2
3,100,1,50,50,26,0,100,1
6,100,11,50,50,29,0,100,14
2,100,1,50,50,31,0,100,0
7,100,11,50,50,26,0,100,16
4,100,1,50,50,30,0,100,2
8,100,11,50,50,27,0,100,16
6,100,11,50,50,30,0,100,14
5,100,1,50,50,32,0,100,1
7,100,11,50,50,27,0,100,16
3,100,1,50,50,27,0,100,1
4,100,1,50,50,31,0,100,2
6,100,11,50,50,31,0,100,14
2,100,1,50,50,32,0,100,0
5,100,1,50,50,33,0,100,1
2,100,1,50,50,33,0,100,0
6,100,11,50,50,32,0,100,14
8,100,11,50,50,28,0,100,16
3,100,1,50,50,28,0,100,1
7,100,11,50,50,28,0,100,16
5,100,1,50,50,34,0,100,1
2,100,1,50,50,34,0,100,0
4,100,1,50,50,32,0,100,2
3,100,1,50,50,29,0,100,1
8,100,11,50,50,29,0,100,16
6,100,11,50,50,33,0,100,14
5,100,1,50,50,35,0,100,1
2,100,1,50,50,35,0,100,0
7,100,11,50,50,29,0,100,16
3,100,1,50,50,30,0,100,1
4,100,1,50,50,33,0,100,2
6,100,11,50,50,34,0,100,14
5,100,1,50,50,36,0,100,1
2,100,1,50,50,36,0,100,0
8,100,11,50,50,30,0,100,16
7,100,11,50,50,30,0,100,16
3,100,1,50,50,31,0,100,1
6,100,11,50,50,35,0,100,14
5,100,1,50,50,37,0,100,1
4,100,1,50,50,34,0,100,2
8,100,11,50,50,31,0,100,16
7,100,11,50,50,31,0,100,16
2,100,1,50,50,37,0,100,0
6,100,11,50,50,36,0,100,14
5,100,1,50,50,38,0,100,1
3,100,1,50,50,32,0,100,1
4,100,1,50,50,35,0,100,2
2,100,1,50,50,38,0,100,0
6,100,11,50,50,37,0,100,14
8,100,11,50,50,32,0,100,16
2,100,1,50,50,39,0,100,0
5,100,1,50,50,39,0,100,1
3,100,1,50,50,33,0,100,1
6,100,11,50,50,38,0,100,14
7,100,11,50,50,32,0,100,16
2,100,1,50,50,40,0,100,0
5,100,1,50,50,40,0,100,1
8,100,11,50,50,33,0,100,16
6,100,11,50,50,39,0,100,14
4,100,1,50,50,36,0,100,2
3,100,1,50,50,34,0,100,1
7,100,11,50,50,33,0,100,16
2,100,1,50,50,41,0,100,0
5,100,1,50,50,41,0,100,1
6,100,11,50,50,40,0,100,14
4,100,1,50,50,37,0,100,2
8,100,11,50,50,34,0,100,16
7,100,11,50,50,34,0,100,16
2,100,1,50,50,42,0,100,0
5,100,1,50,50,42,0,100,1
3,100,1,50,50,35,0,100,1
6,100,11,50,50,41,0,100,14
5,100,1,50,50,43,0,100,1
2,100,1,50,50,43,0,100,0
4,100,1,50,50,38,0,100,2
7,100,11,50,50,35,0,100,16
8,100,11,50,50,35,0,100,16
3,100,1,50,50,36,0,100,1
6,100,11,50,50,42,0,100,14
5,100,1,50,50,44,0,100,1
2,100,1,50,50,44,0,100,0
6,100,11,50,50,43,0,100,14
5,100,1,50,50,45,0,100,1
4,100,1,50,50,39,0,100,2
7,100,11,50,50,36,0,100,16
8,100,11,50,50,36,0,100,16
2,100,1,50,50,45,0,100,0
5,100,1,50,50,46,0,100,1
2,100,1,50,50,46,0,100,0
6,100,11,50,50,44,0,100,14
3,100,1,50,50,37,0,100,1
5,100,1,50,50,47,0,100,1
4,100,1,50,50,40,0,100,2
7,100,11,50,50,37,0,100,16
8,100,11,50,50,37,0,100,16
2,100,1,50,50,47,0,100,0
6,100,11,50,50,45,0,100,14
5,100,1,50,50,48,0,100,1
3,100,1,50,50,38,0,100,1
4,100,1,50,50,41,0,100,2
2,100,1,50,50,48,0,100,0
5,100,1,50,50,49,0,100,1
6,100,11,50,50,46,0,100,14
7,100,11,50,50,38,0,100,16
8,100,11,50,50,38,0,100,16
3,100,1,50,50,39,0,100,1
4,100,1,50,50,42,0,100,2
5,100,1,50,50,50,0,100,1
6,100,11,50,50,47,0,100,14
2,100,1,50,50,49,0,100,0
7,100,11,50,50,39,0,100,16
8,100,11,50,50,39,0,100,16
3,100,1,50,50,40,0,100,1
5,100,1,50,50,51,0,100,1
6,100,11,50,50,48,0,100,14
4,100,1,50,50,43,0,100,2
7,100,11,50,50,40,0,100,16
8,100,11,50,50,40,0,100,16
5,100,1,50,50,52,0,100,1
2,100,1,50,50,50,0,100,0
6,100,11,50,50,49,0,100,14
2,100,1,50,50,51,0,100,0
5,100,1,50,50,53,0,100,1
4,100,1,50,50,44,0,100,2
7,100,11,50,50,41,0,100,16
3,100,1,50,50,41,0,100,1
8,100,11,50,50,41,0,100,16
2,100,1,50,50,52,0,100,0
5,100,1,50,50,54,0,100,1
6,100,11,50,50,50,0,100,14
5,100,1,50,50,55,0,100,1
2,100,1,50,50,53,0,100,0
4,100,1,50,50,45,0,100,2
7,100,11,50,50,42,0,100,16
3,100,1,50,50,42,0,100,1
6,100,11,50,50,51,0,100,14
2,100,1,50,50,54,0,100,0
5,100,1,50,50,56,0,100,1
8,100,11,50,50,42,0,100,16
7,100,11,50,50,43,0,100,16
4,100,1,50,50,46,0,100,2
6,100,11,50,50,52,0,100,14
5,100,1,50,50,57,0,100,1
2,100,1,50,50,55,0,100,0
6,100,11,50,50,53,0,100,14
5,100,1,50,50,58,0,100,1
3,100,1,50,50,43,0,100,1
8,100,11,50,50,43,0,100,16
7,100,11,50,50,44,0,100,16
2,100,1,50,50,56,0,100,0
5,100,1,50,50,59,0,100,1
3,100,1,50,50,44,0,100,1
4,100,1,50,50,47,0,100,2
7,100,11,50,50,45,0,100,16
5,100,1,50,50,60,0,100,1
2,100,1,50,50,57,0,100,0
1,100,1,50,50,29,0,100,1
2,100,1,50,50,58,0,100,0
3,100,1,50,50,45,0,100,1
8,100,11,50,50,44,0,100,16
4,100,1,50,50,48,0,100,2
7,100,11,50,50,46,0,100,16
1,100,1,50,50,30,0,100,1
2,100,1,50,50,59,0,100,0
3,100,1,50,50,46,0,100,1
8,100,11,50,50,45,0,100,16
4,100,1,50,50,49,0,100,2
7,100,11,50,50,47,0,100,16
1,100,1,50,50,31,0,100,1
2,100,1,50,50,60,0,100,0
8,100,11,50,50,46,0,100,16
3,100,1,50,50,47,0,100,1
7,100,11,50,50,48,0,100,16
4,100,1,50,50,50,0,100,2
8,100,11,50,50,47,0,100,16
1,100,1,50,50,32,0,100,1
3,100,1,50,50,48,0,100,1
7,100,11,50,50,49,0,100,16
8,100,11,50,50,48,0,100,16
4,100,1,50,50,51,0,100,2
1,100,1,50,50,33,0,100,1
3,100,1,50,50,49,0,100,1
7,100,11,50,50,50,0,100,16
8,100,11,50,50,49,0,100,16
4,100,1,50,50,52,0,100,2
7,100,11,50,50,51,0,100,16
3,100,1,50,50,50,0,100,1
8,100,11,50,50,50,0,100,16
7,100,11,50,50,52,0,100,16
3,100,1,50,50,51,0,100,1
4,100,1,50,50,53,0,100,2
3,100,1,50,50,52,0,100,1
7,100,11,50,50,53,0,100,16
8,100,11,50,50,51,0,100,16
9,100,11,50,50,0,2,100,0
4,100,1,50,50,54,0,100,2
1,100,1,50,50,34,0,100,1
3,100,1,50,50,53,0,100,1
7,100,11,50,50,54,0,100,16
8,100,11,50,50,52,0,100,16
4,100,1,50,50,55,0,100,2
9,100,11,50,50,1,2,100,2
1,100,1,50,50,35,0,100,1
3,100,1,50,50,54,0,100,1
7,100,11,50,50,55,0,100,16
9,100,11,50,50,2,2,100,4
1,100,1,50,50,36,0,100,1
8,100,11,50,50,53,0,100,16
1,100,1,50,50,37,0,100,1
7,100,11,50,50,56,0,100,16
9,100,11,50,50,3,0,100,6
4,100,1,50,50,56,0,100,2
9,100,11,50,50,4,0,100,6
1,100,1,50,50,38,0,100,1
8,100,11,50,50,54,0,100,16
3,100,1,50,50,55,0,100,1
7,100,11,50,50,57,0,100,16
4,100,1,50,50,57,0,100,2
10,100,11,50,50,0,8,100,0
1,100,1,50,50,39,0,100,1
9,100,11,50,50,5,0,100,6
8,100,11,50,50,55,0,100,16
7,100,11,50,50,58,0,100,16
4,100,1,50,50,58,0,100,2
3,100,1,50,50,56,0,100,1
9,100,11,50,50,6,0,100,6
8,100,11,50,50,56,0,100,16
4,100,1,50,50,59,0,100,2
7,100,11,50,50,59,0,100,16
3,100,1,50,50,57,0,100,1
10,100,11,50,50,1,6,100,8
9,100,11,50,50,7,0,100,6
7,100,11,50,50,60,0,100,16
10,100,11,50,50,2,4,100,14
8,100,11,50,50,57,0,100,16
4,100,1,50,50,60,0,100,2
3,100,1,50,50,58,0,100,1
9,100,11,50,50,8,0,100,6
10,100,11,50,50,3,3,100,18
8,100,11,50,50,58,0,100,16
3,100,1,50,50,59,0,100,1
9,100,11,50,50,9,0,100,6
10,100,11,50,50,4,0,100,21
8,100,11,50,50,59,0,100,16
1,100,1,50,50,40,0,100,1
3,100,1,50,50,60,0,100,1
9,100,11,50,50,10,0,100,6
8,100,11,50,50,60,0,100,16
1,100,1,50,50,41,0,100,1
10,100,11,50,50,5,0,100,21
9,100,11,50,50,11,0,100,6
1,100,1,50,50,42,0,100,1
10,100,11,50,50,6,0,100,21
9,100,11,50,50,12,0,100,6
1,100,1,50,50,43,0,100,1
10,100,11,50,50,7,0,100,21
9,100,11,50,50,13,0,100,6
12,100,21,50,50,0,6,100,0
11,100,21,50,50,0,13,100,0
1,100,1,50,50,44,0,100,1
10,100,11,50,50,8,0,100,21
12,100,21,50,50,1,2,100,6
1,100,1,50,50,45,0,100,1
9,100,11,50,50,14,0,100,6
10,100,11,50,50,9,0,100,21
11,100,21,50,50,1,5,100,13
1,100,1,50,50,46,0,100,1
9,100,11,50,50,15,0,100,6
13,100,21,50,50,0,9,100,0
12,100,21,50,50,2,1,100,8
14,100,21,50,50,0,11,100,0
11,100,21,50,50,2,2,100,18
10,100,11,50,50,10,0,100,21
9,100,11,50,50,16,0,100,6
1,100,1,50,50,47,0,100,1
13,100,21,50,50,1,3,100,9
11,100,21,50,50,3,1,100,20
14,100,21,50,50,1,6,100,11
12,100,21,50,50,3,1,100,9
9,100,11,50,50,17,0,100,6
10,100,11,50,50,11,0,100,21
1,100,1,50,50,48,0,100,1
9,100,11,50,50,18,0,100,6
10,100,11,50,50,12,0,100,21
11,100,21,50,50,4,1,100,21
12,100,21,50,50,4,0,100,10
1,100,1,50,50,49,0,100,1
13,100,21,50,50,2,1,100,12
14,100,21,50,50,2,3,100,17
11,100,21,50,50,5,0,100,22
9,100,11,50,50,19,0,100,6
10,100,11,50,50,13,0,100,21
1,100,1,50,50,50,0,100,1
12,100,21,50,50,5,0,100,10
11,100,21,50,50,6,0,100,22
9,100,11,50,50,20,0,100,6
10,100,11,50,50,14,0,100,21
1,100,1,50,50,51,0,100,1
14,100,21,50,50,3,1,100,20
12,100,21,50,50,6,0,100,10
11,100,21,50,50,7,0,100,22
9,100,11,50,50,21,0,100,6
10,100,11,50,50,15,0,100,21
14,100,21,50,50,4,1,100,21
12,100,21,50,50,7,0,100,10
1,100,1,50,50,52,0,100,1
9,100,11,50,50,22,0,100,6
11,100,21,50,50,8,0,100,22
12,100,21,50,50,8,0,100,10
14,100,21,50,50,5,1,100,22
10,100,11,50,50,16,0,100,21
9,100,11,50,50,23,0,100,6
11,100,21,50,50,9,0,100,22
1,100,1,50,50,53,0,100,1
10,100,11,50,50,17,0,100,21
9,100,11,50,50,24,0,100,6
12,100,21,50,50,9,0,100,10
11,100,21,50,50,10,0,100,22
14,100,21,50,50,6,0,100,23
1,100,1,50,50,54,0,100,1
10,100,11,50,50,18,0,100,21
12,100,21,50,50,10,0,100,10
9,100,11,50,50,25,0,100,6
1,100,1,50,50,55,0,100,1
11,100,21,50,50,11,0,100,22
10,100,11,50,50,19,0,100,21
14,100,21,50,50,7,0,100,23
12,100,21,50,50,11,0,100,10
1,100,1,50,50,56,0,100,1
