[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles
5,100,1,90,10,18,0,100
7,100,11,90,10,22,1,100
3,100,1,90,10,34,0,100
2,100,1,90,10,31,0,100
8,100,11,90,10,14,0,100
4,100,1,90,10,21,0,100
1,100,1,90,10,40,0,100
5,100,1,90,10,19,0,100
6,100,11,90,10,17,0,100
8,100,11,90,10,15,0,100
7,100,11,90,10,23,1,100
3,100,1,90,10,35,0,100
1,100,1,90,10,41,0,100
5,100,1,90,10,20,0,100
4,100,1,90,10,22,0,100
2,100,1,90,10,32,0,100
8,100,11,90,10,16,0,100
1,100,1,90,10,42,0,100
5,100,1,90,10,21,0,100
4,100,1,90,10,23,0,100
8,100,11,90,10,17,0,100
3,100,1,90,10,36,0,100
6,100,11,90,10,18,0,100
2,100,1,90,10,33,0,100
5,100,1,90,10,22,0,100
1,100,1,90,10,43,0,100
4,100,1,90,10,24,0,100
7,100,11,90,10,24,1,100
8,100,11,90,10,18,0,100
5,100,1,90,10,23,0,100
4,100,1,90,10,25,0,100
1,100,1,90,10,44,0,100
8,100,11,90,10,19,0,100
3,100,1,90,10,37,0,100
2,100,1,90,10,34,0,100
1,100,1,90,10,45,0,100
5,100,1,90,10,24,0,100
6,100,11,90,10,19,0,100
4,100,1,90,10,26,0,100
1,100,1,90,10,46,0,100
7,100,11,90,10,25,1,100
3,100,1,90,10,38,0,100
8,100,11,90,10,20,0,100
4,100,1,90,10,27,0,100
1,100,1,90,10,47,0,100
6,100,11,90,10,20,0,100
3,100,1,90,10,39,0,100
2,100,1,90,10,35,0,100
1,100,1,90,10,48,0,100
7,100,11,90,10,26,1,100
3,100,1,90,10,40,0,100
6,100,11,90,10,21,0,100
5,100,1,90,10,25,0,100
1,100,1,90,10,49,0,100
4,100,1,90,10,28,0,100
8,100,11,90,10,21,0,100
2,100,1,90,10,36,0,100
3,100,1,90,10,41,0,100
1,100,1,90,10,50,0,100
6,100,11,90,10,22,0,100
7,100,11,90,10,27,1,100
5,100,1,90,10,26,0,100
4,100,1,90,10,29,0,100
1,100,1,90,10,51,0,100
2,100,1,90,10,37,0,100
3,100,1,90,10,42,0,100
1,100,1,90,10,52,0,100
6,100,11,90,10,23,0,100
8,100,11,90,10,22,0,100
5,100,1,90,10,27,0,100
7,100,11,90,10,28,1,100
1,100,1,90,10,53,0,100
3,100,1,90,10,43,0,100
2,100,1,90,10,38,0,100
