[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
1,1000,100,80,10,23,36,822,1000,820
2,1000,100,80,10,25,48,790,1000,981
3,1000,100,80,10,25,41,785,1000,939
4,1000,100,80,10,24,39,812,1000,704
1,1000,100,80,10,24,35,822,1000,856
5,1000,100,80,10,27,7,817,1000,333
2,1000,100,80,10,26,50,790,1000,1029
3,1000,100,80,10,26,39,785,1000,980
5,1000,100,80,10,28,8,817,1000,340
4,1000,100,80,10,25,40,812,1000,743
1,1000,100,80,10,25,34,822,1000,891
2,1000,100,80,10,27,45,790,1000,1079
3,1000,100,80,10,27,40,785,1000,1019
5,1000,100,80,10,29,5,817,1000,348
4,1000,100,80,10,26,41,812,1000,783
3,1000,100,80,10,28,45,785,1000,1059
1,1000,100,80,10,26,32,822,1000,925
2,1000,100,80,10,28,46,790,1000,1124
4,1000,100,80,10,27,39,812,1000,824
5,1000,100,80,10,30,5,817,1000,353
1,1000,100,80,10,27,30,822,1000,957
3,1000,100,80,10,29,47,785,1000,1104
2,1000,100,80,10,29,43,790,1000,1170
5,1000,100,80,10,31,5,817,1000,358
4,1000,100,80,10,28,43,812,1000,863
1,1000,100,80,10,28,29,822,1000,987
4,1000,100,80,10,29,45,812,1000,906
3,1000,100,80,10,30,49,785,1000,1151
2,1000,100,80,10,30,43,790,1000,1213
5,1000,100,80,10,32,6,817,1000,363
4,1000,100,80,10,30,43,812,1000,951
1,1000,100,80,10,29,26,822,1000,1016
5,1000,100,80,10,33,6,817,1000,369
3,1000,100,80,10,31,49,785,1000,1200
2,1000,100,80,10,31,39,790,1000,1256
1,1000,100,80,10,30,31,822,1000,1042
4,1000,100,80,10,31,47,812,1000,994
3,1000,100,80,10,32,51,785,1000,1249
5,1000,100,80,10,34,6,817,1000,375
2,1000,100,80,10,32,42,790,1000,1295
3,1000,100,80,10,33,53,785,1000,1300
1,1000,100,80,10,31,28,822,1000,1073
2,1000,100,80,10,33,47,790,1000,1337
4,1000,100,80,10,32,49,812,1000,1041
5,1000,100,80,10,35,7,817,1000,381
4,1000,100,80,10,33,50,812,1000,1090
3,1000,100,80,10,34,52,785,1000,1353
2,1000,100,80,10,34,45,790,1000,1384
5,1000,100,80,10,36,5,817,1000,388
1,1000,100,80,10,32,27,822,1000,1101
5,1000,100,80,10,37,7,817,1000,393
4,1000,100,80,10,34,50,812,1000,1140
3,1000,100,80,10,35,54,785,1000,1405
2,1000,100,80,10,35,43,790,1000,1429
1,1000,100,80,10,33,26,822,1000,1128
4,1000,100,80,10,35,52,812,1000,1190
5,1000,100,80,10,38,8,817,1000,400
2,1000,100,80,10,36,47,790,1000,1472
3,1000,100,80,10,36,55,785,1000,1459
1,1000,100,80,10,34,24,822,1000,1154
4,1000,100,80,10,36,47,812,1000,1242
3,1000,100,80,10,37,52,785,1000,1514
2,1000,100,80,10,37,44,790,1000,1519
5,1000,100,80,10,39,7,817,1000,408
1,1000,100,80,10,35,26,822,1000,1178
4,1000,100,80,10,37,46,812,1000,1289
3,1000,100,80,10,38,51,785,1000,1566
2,1000,100,80,10,38,45,790,1000,1563
5,1000,100,80,10,40,7,817,1000,415
1,1000,100,80,10,36,27,822,1000,1204
4,1000,100,80,10,38,45,812,1000,1335
3,1000,100,80,10,39,50,785,1000,1617
2,1000,100,80,10,39,48,790,1000,1608
5,1000,100,80,10,41,8,817,1000,422
1,1000,100,80,10,37,27,822,1000,1231
4,1000,100,80,10,39,47,812,1000,1380
3,1000,100,80,10,40,48,785,1000,1667
2,1000,100,80,10,40,48,790,1000,1656
1,1000,100,80,10,38,28,822,1000,1258
4,1000,100,80,10,40,53,812,1000,1427
5,1000,100,80,10,42,8,817,1000,430
3,1000,100,80,10,41,50,785,1000,1715
2,1000,100,80,10,41,44,790,1000,1704
1,1000,100,80,10,39,34,822,1000,1286
5,1000,100,80,10,43,8,817,1000,438
4,1000,100,80,10,41,49,812,1000,1480
3,1000,100,80,10,42,52,785,1000,1765
2,1000,100,80,10,42,41,790,1000,1748
1,1000,100,80,10,40,36,822,1000,1320
4,1000,100,80,10,42,45,812,1000,1529
3,1000,100,80,10,43,57,785,1000,1817
5,1000,100,80,10,44,8,817,1000,446
4,1000,100,80,10,43,43,812,1000,1574
1,1000,100,80,10,41,37,822,1000,1356
2,1000,100,80,10,43,50,790,1000,1789
3,1000,100,80,10,44,59,785,1000,1874
5,1000,100,80,10,45,9,817,1000,454
4,1000,100,80,10,44,46,812,1000,1617
1,1000,100,80,10,42,39,822,1000,1393
2,1000,100,80,10,44,56,790,1000,1839
3,1000,100,80,10,45,60,785,1000,1933
5,1000,100,80,10,46,7,817,1000,463
2,1000,100,80,10,45,57,790,1000,1895
4,1000,100,80,10,45,50,812,1000,1663
3,1000,100,80,10,46,66,785,1000,1993
1,1000,100,80,10,43,43,822,1000,1432
2,1000,100,80,10,46,56,790,1000,1952
5,1000,100,80,10,47,9,817,1000,470
4,1000,100,80,10,46,50,812,1000,1713
3,1000,100,80,10,47,66,785,1000,2059
1,1000,100,80,10,44,47,822,1000,1475
2,1000,100,80,10,47,55,790,1000,2008
5,1000,100,80,10,48,9,817,1000,479
3,1000,100,80,10,48,68,785,1000,2125
4,1000,100,80,10,47,51,812,1000,1763
1,1000,100,80,10,45,47,822,1000,1522
2,1000,100,80,10,48,56,790,1000,2063
4,1000,100,80,10,48,46,812,1000,1814
1,1000,100,80,10,46,43,822,1000,1569
5,1000,100,80,10,49,9,817,1000,488
3,1000,100,80,10,49,66,785,1000,2193
2,1000,100,80,10,49,56,790,1000,2119
4,1000,100,80,10,49,49,812,1000,1860
1,1000,100,80,10,47,45,822,1000,1612
5,1000,100,80,10,50,7,817,1000,497
3,1000,100,80,10,50,66,785,1000,2259
2,1000,100,80,10,50,52,790,1000,2175
5,1000,100,80,10,51,7,817,1000,504
4,1000,100,80,10,50,44,812,1000,1909
3,1000,100,80,10,51,63,785,1000,2325
1,1000,100,80,10,48,50,822,1000,1657
2,1000,100,80,10,51,58,790,1000,2227
3,1000,100,80,10,52,61,785,1000,2388
5,1000,100,80,10,52,8,817,1000,511
4,1000,100,80,10,51,45,812,1000,1953
1,1000,100,80,10,49,51,822,1000,1707
2,1000,100,80,10,52,55,790,1000,2285
4,1000,100,80,10,52,40,812,1000,1998
3,1000,100,80,10,53,60,785,1000,2449
5,1000,100,80,10,53,8,817,1000,519
1,1000,100,80,10,50,58,822,1000,1758
2,1000,100,80,10,53,62,790,1000,2340
4,1000,100,80,10,53,39,812,1000,2038
5,1000,100,80,10,54,10,817,1000,527
3,1000,100,80,10,54,65,785,1000,2509
1,1000,100,80,10,51,59,822,1000,1816
2,1000,100,80,10,54,67,790,1000,2402
4,1000,100,80,10,54,32,812,1000,2077
5,1000,100,80,10,55,10,817,1000,537
3,1000,100,80,10,55,64,785,1000,2574
1,1000,100,80,10,52,57,822,1000,1875
2,1000,100,80,10,55,69,790,1000,2469
4,1000,100,80,10,55,34,812,1000,2109
5,1000,100,80,10,56,14,817,1000,547
3,1000,100,80,10,56,65,785,1000,2638
1,1000,100,80,10,53,55,822,1000,1932
4,1000,100,80,10,56,32,812,1000,2143
5,1000,100,80,10,57,13,817,1000,561
1,1000,100,80,10,54,54,822,1000,1987
3,1000,100,80,10,57,67,785,1000,2703
2,1000,100,80,10,56,67,790,1000,2538
4,1000,100,80,10,57,31,812,1000,2175
5,1000,100,80,10,58,11,817,1000,574
3,1000,100,80,10,58,62,785,1000,2770
1,1000,100,80,10,55,46,822,1000,2041
2,1000,100,80,10,57,69,790,1000,2605
4,1000,100,80,10,58,34,812,1000,2206
1,1000,100,80,10,56,44,822,1000,2087
3,1000,100,80,10,59,63,785,1000,2832
5,1000,100,80,10,59,10,817,1000,585
4,1000,100,80,10,59,33,812,1000,2240
2,1000,100,80,10,58,69,790,1000,2674
1,1000,100,80,10,57,43,822,1000,2131
3,1000,100,80,10,60,63,785,1000,2895
5,1000,100,80,10,60,10,817,1000,595
2,1000,100,80,10,59,76,790,1000,2743
1,1000,100,80,10,58,44,822,1000,2174
3,1000,100,80,10,61,62,785,1000,2958
4,1000,100,80,10,60,36,812,1000,2273
5,1000,100,80,10,61,10,817,1000,605
1,1000,100,80,10,59,53,822,1000,2218
3,1000,100,80,10,62,59,785,1000,3020
2,1000,100,80,10,60,72,790,1000,2819
5,1000,100,80,10,62,11,817,1000,615
3,1000,100,80,10,63,53,785,1000,3079
1,1000,100,80,10,60,58,822,1000,2271
2,1000,100,80,10,61,70,790,1000,2891
4,1000,100,80,10,61,33,812,1000,2309
5,1000,100,80,10,63,14,817,1000,626
3,1000,100,80,10,64,52,785,1000,3132
2,1000,100,80,10,62,73,790,1000,2961
1,1000,100,80,10,61,54,822,1000,2329
4,1000,100,80,10,62,33,812,1000,2342
5,1000,100,80,10,64,13,817,1000,640
3,1000,100,80,10,65,51,785,1000,3184
2,1000,100,80,10,63,74,790,1000,3034
4,1000,100,80,10,63,32,812,1000,2375
1,1000,100,80,10,62,54,822,1000,2383
5,1000,100,80,10,65,13,817,1000,653
3,1000,100,80,10,66,54,785,1000,3235
2,1000,100,80,10,64,71,790,1000,3108
5,1000,100,80,10,66,13,817,1000,666
4,1000,100,80,10,64,33,812,1000,2407
1,1000,100,80,10,63,49,822,1000,2437
3,1000,100,80,10,67,60,785,1000,3289
2,1000,100,80,10,65,65,790,1000,3179
5,1000,100,80,10,67,15,817,1000,679
2,1000,100,80,10,66,64,790,1000,3244
4,1000,100,80,10,65,31,812,1000,2440
1,1000,100,80,10,64,51,822,1000,2486
3,1000,100,80,10,68,60,785,1000,3349
5,1000,100,80,10,68,15,817,1000,694
2,1000,100,80,10,67,68,790,1000,3308
4,1000,100,80,10,66,31,812,1000,2471
1,1000,100,80,10,65,50,822,1000,2537
3,1000,100,80,10,69,56,785,1000,3409
5,1000,100,80,10,69,17,817,1000,709
2,1000,100,80,10,68,73,790,1000,3376
1,1000,100,80,10,66,50,822,1000,2587
4,1000,100,80,10,67,31,812,1000,2502
3,1000,100,80,10,70,62,785,1000,3465
5,1000,100,80,10,70,18,817,1000,726
1,1000,100,80,10,67,48,822,1000,2637
2,1000,100,80,10,69,83,790,1000,3449
3,1000,100,80,10,71,66,785,1000,3527
4,1000,100,80,10,68,30,812,1000,2533
5,1000,100,80,10,71,16,817,1000,744
1,1000,100,80,10,68,53,822,1000,2685
3,1000,100,80,10,72,64,785,1000,3593
2,1000,100,80,10,70,81,790,1000,3532
4,1000,100,80,10,69,33,812,1000,2563
5,1000,100,80,10,72,19,817,1000,760
3,1000,100,80,10,73,60,785,1000,3657
1,1000,100,80,10,69,53,822,1000,2738
4,1000,100,80,10,70,33,812,1000,2596
2,1000,100,80,10,71,79,790,1000,3613
3,1000,100,80,10,74,58,785,1000,3717
1,1000,100,80,10,70,52,822,1000,2791
5,1000,100,80,10,73,20,817,1000,779
4,1000,100,80,10,71,36,812,1000,2629
2,1000,100,80,10,72,78,790,1000,3692
3,1000,100,80,10,75,60,785,1000,3775
1,1000,100,80,10,71,54,822,1000,2843
5,1000,100,80,10,74,24,817,1000,799
4,1000,100,80,10,72,42,812,1000,2665
1,1000,100,80,10,72,48,822,1000,2897
2,1000,100,80,10,73,82,790,1000,3770
3,1000,100,80,10,76,57,785,1000,3835
5,1000,100,80,10,75,25,817,1000,823
3,1000,100,80,10,77,54,785,1000,3892
4,1000,100,80,10,73,45,812,1000,2707
1,1000,100,80,10,73,52,822,1000,2945
2,1000,100,80,10,74,84,790,1000,3852
5,1000,100,80,10,76,26,817,1000,848
3,1000,100,80,10,78,51,785,1000,3946
4,1000,100,80,10,74,47,812,1000,2752
5,1000,100,80,10,77,25,817,1000,874
1,1000,100,80,10,74,49,822,1000,2997
2,1000,100,80,10,75,81,790,1000,3936
3,1000,100,80,10,79,53,785,1000,3997
4,1000,100,80,10,75,48,812,1000,2799
2,1000,100,80,10,76,83,790,1000,4017
5,1000,100,80,10,78,23,817,1000,899
3,1000,100,80,10,80,53,785,1000,4050
1,1000,100,80,10,75,51,822,1000,3046
4,1000,100,80,10,76,50,812,1000,2847
2,1000,100,80,10,77,85,790,1000,4100
5,1000,100,80,10,79,21,817,1000,922
3,1000,100,80,10,81,51,785,1000,4103
1,1000,100,80,10,76,51,822,1000,3097
2,1000,100,80,10,78,80,790,1000,4185
4,1000,100,80,10,77,52,812,1000,2897
3,1000,100,80,10,82,52,785,1000,4154
5,1000,100,80,10,80,20,817,1000,943
1,1000,100,80,10,77,52,822,1000,3148
2,1000,100,80,10,79,74,790,1000,4265
4,1000,100,80,10,78,57,812,1000,2949
3,1000,100,80,10,83,52,785,1000,4206
5,1000,100,80,10,81,20,817,1000,963
2,1000,100,80,10,80,80,790,1000,4339
1,1000,100,80,10,78,54,822,1000,3200
4,1000,100,80,10,79,56,812,1000,3006
3,1000,100,80,10,84,56,785,1000,4258
2,1000,100,80,10,81,76,790,1000,4419
5,1000,100,80,10,82,18,817,1000,983
1,1000,100,80,10,79,48,822,1000,3254
4,1000,100,80,10,80,60,812,1000,3062
3,1000,100,80,10,85,56,785,1000,4314
2,1000,100,80,10,82,74,790,1000,4495
5,1000,100,80,10,83,18,817,1000,1001
1,1000,100,80,10,80,48,822,1000,3302
3,1000,100,80,10,86,58,785,1000,4370
4,1000,100,80,10,81,61,812,1000,3122
2,1000,100,80,10,83,73,790,1000,4569
5,1000,100,80,10,84,19,817,1000,1019
3,1000,100,80,10,87,51,785,1000,4428
1,1000,100,80,10,81,47,822,1000,3350
4,1000,100,80,10,82,59,812,1000,3183
2,1000,100,80,10,84,74,790,1000,4642
5,1000,100,80,10,85,15,817,1000,1038
1,1000,100,80,10,82,49,822,1000,3397
3,1000,100,80,10,88,55,785,1000,4479
4,1000,100,80,10,83,57,812,1000,3242
2,1000,100,80,10,85,75,790,1000,4716
5,1000,100,80,10,86,17,817,1000,1053
1,1000,100,80,10,83,51,822,1000,3446
3,1000,100,80,10,89,61,785,1000,4534
4,1000,100,80,10,84,55,812,1000,3299
5,1000,100,80,10,87,17,817,1000,1070
2,1000,100,80,10,86,76,790,1000,4791
4,1000,100,80,10,85,55,812,1000,3354
1,1000,100,80,10,84,54,822,1000,3497
3,1000,100,80,10,90,67,785,1000,4595
5,1000,100,80,10,88,17,817,1000,1087
2,1000,100,80,10,87,77,790,1000,4867
4,1000,100,80,10,86,54,812,1000,3409
5,1000,100,80,10,89,21,817,1000,1104
3,1000,100,80,10,91,66,785,1000,4662
1,1000,100,80,10,85,51,822,1000,3551
2,1000,100,80,10,88,78,790,1000,4944
4,1000,100,80,10,87,50,812,1000,3463
3,1000,100,80,10,92,71,785,1000,4728
5,1000,100,80,10,90,21,817,1000,1125
4,1000,100,80,10,88,49,812,1000,3513
3,1000,100,80,10,93,69,785,1000,4799
1,1000,100,80,10,86,46,822,1000,3602
2,1000,100,80,10,89,76,790,1000,5022
5,1000,100,80,10,91,22,817,1000,1146
4,1000,100,80,10,89,46,812,1000,3562
3,1000,100,80,10,94,70,785,1000,4868
1,1000,100,80,10,87,48,822,1000,3648
2,1000,100,80,10,90,76,790,1000,5098
5,1000,100,80,10,92,21,817,1000,1168
