[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
3,1000,100,80,10,28,52,1000,740
8,1000,100,80,10,19,47,1000,638
2,1000,100,80,10,12,23,1000,202
5,1000,100,80,10,18,33,1000,415
6,1000,100,80,10,20,46,1000,721
1,1000,100,80,10,16,41,1000,459
4,1000,100,80,10,26,80,1000,1356
3,1000,100,80,10,29,48,1000,792
1,1000,100,80,10,17,45,1000,500
4,1000,100,80,10,27,79,1000,1436
7,1000,100,80,10,17,17,1000,229
2,1000,100,80,10,13,25,1000,225
5,1000,100,80,10,19,34,1000,448
6,1000,100,80,10,21,46,1000,767
8,1000,100,80,10,20,46,1000,685
3,1000,100,80,10,30,48,1000,840
4,1000,100,80,10,28,76,1000,1515
6,1000,100,80,10,22,44,1000,813
5,1000,100,80,10,20,33,1000,482
2,1000,100,80,10,14,26,1000,250
1,1000,100,80,10,18,44,1000,545
8,1000,100,80,10,21,42,1000,731
7,1000,100,80,10,18,18,1000,246
4,1000,100,80,10,29,75,1000,1591
3,1000,100,80,10,31,48,1000,888
6,1000,100,80,10,23,42,1000,857
2,1000,100,80,10,15,27,1000,276
1,1000,100,80,10,19,41,1000,589
5,1000,100,80,10,21,31,1000,515
7,1000,100,80,10,19,19,1000,264
8,1000,100,80,10,22,42,1000,773
3,1000,100,80,10,32,54,1000,936
6,1000,100,80,10,24,43,1000,899
2,1000,100,80,10,16,23,1000,303
4,1000,100,80,10,30,73,1000,1666
5,1000,100,80,10,22,29,1000,546
7,1000,100,80,10,20,17,1000,283
1,1000,100,80,10,20,38,1000,630
3,1000,100,80,10,33,57,1000,990
6,1000,100,80,10,25,39,1000,942
8,1000,100,80,10,23,47,1000,815
2,1000,100,80,10,17,24,1000,326
3,1000,100,80,10,34,52,1000,1047
5,1000,100,80,10,23,31,1000,575
4,1000,100,80,10,31,72,1000,1739
7,1000,100,80,10,21,20,1000,300
6,1000,100,80,10,26,42,1000,981
8,1000,100,80,10,24,49,1000,862
2,1000,100,80,10,18,26,1000,350
1,1000,100,80,10,21,41,1000,668
3,1000,100,80,10,35,51,1000,1099
5,1000,100,80,10,24,29,1000,606
7,1000,100,80,10,22,19,1000,320
4,1000,100,80,10,32,75,1000,1811
6,1000,100,80,10,27,40,1000,1023
3,1000,100,80,10,36,51,1000,1150
8,1000,100,80,10,25,49,1000,911
1,1000,100,80,10,22,37,1000,709
2,1000,100,80,10,19,29,1000,376
5,1000,100,80,10,25,28,1000,635
7,1000,100,80,10,23,20,1000,339
6,1000,100,80,10,28,36,1000,1063
4,1000,100,80,10,33,79,1000,1886
3,1000,100,80,10,37,50,1000,1201
8,1000,100,80,10,26,48,1000,960
2,1000,100,80,10,20,34,1000,405
6,1000,100,80,10,29,37,1000,1099
1,1000,100,80,10,23,38,1000,746
5,1000,100,80,10,26,29,1000,663
7,1000,100,80,10,24,24,1000,359
4,1000,100,80,10,34,80,1000,1965
3,1000,100,80,10,38,50,1000,1251
2,1000,100,80,10,21,33,1000,439
6,1000,100,80,10,30,40,1000,1136
