"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"recovery"
"04/02/2019 11:45:30:544 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles"
"8","500","1","10","90","54","0","500"
"4","500","1","10","90","43","0","500"
"3","500","1","10","90","68","0","500"
"1","500","1","10","90","43","0","500"
"7","500","1","10","90","42","0","500"
"2","500","1","10","90","53","0","500"
"5","500","1","10","90","46","0","500"
"8","500","1","10","90","55","0","500"
"3","500","1","10","90","69","0","500"
"4","500","1","10","90","44","0","500"
"7","500","1","10","90","43","0","500"
"1","500","1","10","90","44","0","500"
"5","500","1","10","90","47","0","500"
"2","500","1","10","90","54","0","500"
"8","500","1","10","90","56","0","500"
"3","500","1","10","90","70","0","500"
"4","500","1","10","90","45","0","500"
"1","500","1","10","90","45","0","500"
"7","500","1","10","90","44","0","500"
"2","500","1","10","90","55","0","500"
"5","500","1","10","90","48","0","500"
"8","500","1","10","90","57","0","500"
"1","500","1","10","90","46","0","500"
"4","500","1","10","90","46","0","500"
"7","500","1","10","90","45","0","500"
"5","500","1","10","90","49","0","500"
"2","500","1","10","90","56","0","500"
"3","500","1","10","90","71","0","500"
"1","500","1","10","90","47","0","500"
"8","500","1","10","90","58","0","500"
"4","500","1","10","90","47","0","500"
"7","500","1","10","90","46","0","500"
"5","500","1","10","90","50","0","500"
"3","500","1","10","90","72","0","500"
"2","500","1","10","90","57","0","500"
"1","500","1","10","90","48","0","500"
"8","500","1","10","90","59","0","500"
"4","500","1","10","90","48","0","500"
"7","500","1","10","90","47","0","500"
"5","500","1","10","90","51","0","500"
"3","500","1","10","90","73","0","500"
"8","500","1","10","90","60","0","500"
"2","500","1","10","90","58","0","500"
"1","500","1","10","90","49","0","500"
"7","500","1","10","90","48","0","500"
"4","500","1","10","90","49","0","500"
"5","500","1","10","90","52","0","500"
"3","500","1","10","90","74","0","500"
"8","500","1","10","90","61","0","500"
"2","500","1","10","90","59","0","500"
"1","500","1","10","90","50","0","500"
"4","500","1","10","90","50","0","500"
"7","500","1","10","90","49","0","500"
"5","500","1","10","90","53","0","500"
"3","500","1","10","90","75","0","500"
"2","500","1","10","90","60","0","500"
"8","500","1","10","90","62","0","500"
"4","500","1","10","90","51","0","500"
"1","500","1","10","90","51","0","500"
"7","500","1","10","90","50","0","500"
"5","500","1","10","90","54","0","500"
"3","500","1","10","90","76","0","500"
"2","500","1","10","90","61","0","500"
"8","500","1","10","90","63","0","500"
"4","500","1","10","90","52","0","500"
"1","500","1","10","90","52","0","500"
"7","500","1","10","90","51","0","500"
"5","500","1","10","90","55","0","500"
"2","500","1","10","90","62","0","500"
"4","500","1","10","90","53","0","500"
"3","500","1","10","90","77","0","500"
"7","500","1","10","90","52","0","500"
"1","500","1","10","90","53","0","500"
"8","500","1","10","90","64","0","500"
"4","500","1","10","90","54","0","500"
"2","500","1","10","90","63","0","500"
"5","500","1","10","90","56","0","500"
"3","500","1","10","90","78","0","500"
"7","500","1","10","90","53","0","500"
"1","500","1","10","90","54","0","500"
"8","500","1","10","90","65","0","500"
"4","500","1","10","90","55","0","500"
"2","500","1","10","90","64","0","500"
"5","500","1","10","90","57","0","500"
"3","500","1","10","90","79","0","500"
"7","500","1","10","90","54","0","500"
"8","500","1","10","90","66","0","500"
"2","500","1","10","90","65","0","500"
"4","500","1","10","90","56","0","500"
"1","500","1","10","90","55","0","500"
"5","500","1","10","90","58","0","500"
"7","500","1","10","90","55","0","500"
"3","500","1","10","90","80","0","500"
"4","500","1","10","90","57","0","500"
"2","500","1","10","90","66","0","500"
"1","500","1","10","90","56","0","500"
"8","500","1","10","90","67","0","500"
"5","500","1","10","90","59","0","500"
"7","500","1","10","90","56","0","500"
"3","500","1","10","90","81","0","500"
"2","500","1","10","90","67","0","500"
"4","500","1","10","90","58","0","500"
"8","500","1","10","90","68","0","500"
"1","500","1","10","90","57","0","500"
"5","500","1","10","90","60","0","500"
"7","500","1","10","90","57","0","500"
"2","500","1","10","90","68","0","500"
"3","500","1","10","90","82","0","500"
"4","500","1","10","90","59","0","500"
"1","500","1","10","90","58","0","500"
"8","500","1","10","90","69","0","500"
"5","500","1","10","90","61","0","500"
"7","500","1","10","90","58","0","500"
"2","500","1","10","90","69","0","500"
"4","500","1","10","90","60","0","500"
"8","500","1","10","90","70","0","500"
"3","500","1","10","90","83","0","500"
"7","500","1","10","90","59","0","500"
"5","500","1","10","90","62","0","500"
"1","500","1","10","90","59","0","500"
"2","500","1","10","90","70","0","500"
"4","500","1","10","90","61","0","500"
"7","500","1","10","90","60","0","500"
"3","500","1","10","90","84","0","500"
"8","500","1","10","90","71","0","500"
"5","500","1","10","90","63","0","500"
"1","500","1","10","90","60","0","500"
"2","500","1","10","90","71","0","500"
"4","500","1","10","90","62","0","500"
"7","500","1","10","90","61","0","500"
"3","500","1","10","90","85","0","500"
"8","500","1","10","90","72","0","500"
"1","500","1","10","90","61","0","500"
"2","500","1","10","90","72","0","500"
"5","500","1","10","90","64","0","500"
"4","500","1","10","90","63","0","500"
"7","500","1","10","90","62","0","500"
"3","500","1","10","90","86","0","500"
"8","500","1","10","90","73","0","500"
"2","500","1","10","90","73","0","500"
"5","500","1","10","90","65","0","500"
"1","500","1","10","90","62","0","500"
"7","500","1","10","90","63","0","500"
"4","500","1","10","90","64","0","500"
"3","500","1","10","90","87","0","500"
"8","500","1","10","90","74","0","500"
"2","500","1","10","90","74","0","500"
"5","500","1","10","90","66","0","500"
"7","500","1","10","90","64","0","500"
"4","500","1","10","90","65","0","500"
"1","500","1","10","90","63","0","500"
"3","500","1","10","90","88","0","500"
"8","500","1","10","90","75","0","500"
"5","500","1","10","90","67","0","500"
"2","500","1","10","90","75","0","500"
"7","500","1","10","90","65","0","500"
"4","500","1","10","90","66","0","500"
"1","500","1","10","90","64","0","500"
"3","500","1","10","90","89","0","500"
"5","500","1","10","90","68","0","500"
"7","500","1","10","90","66","0","500"
"4","500","1","10","90","67","0","500"
"8","500","1","10","90","76","0","500"
"2","500","1","10","90","76","0","500"
"1","500","1","10","90","65","0","500"
"3","500","1","10","90","90","0","500"
"5","500","1","10","90","69","0","500"
"7","500","1","10","90","67","0","500"
"8","500","1","10","90","77","0","500"
"2","500","1","10","90","77","0","500"
"1","500","1","10","90","66","0","500"
"4","500","1","10","90","68","0","500"
"3","500","1","10","90","91","0","500"
"5","500","1","10","90","70","0","500"
"7","500","1","10","90","68","0","500"
"1","500","1","10","90","67","0","500"
"2","500","1","10","90","78","0","500"
"8","500","1","10","90","78","0","500"
"3","500","1","10","90","92","0","500"
"7","500","1","10","90","69","0","500"
"4","500","1","10","90","69","0","500"
"5","500","1","10","90","71","0","500"
"6","500","1","10","90","45","0","500"
"2","500","1","10","90","79","0","500"
"8","500","1","10","90","79","0","500"
"1","500","1","10","90","68","0","500"
"3","500","1","10","90","93","0","500"
"5","500","1","10","90","72","0","500"
"7","500","1","10","90","70","0","500"
"4","500","1","10","90","70","0","500"
"2","500","1","10","90","80","0","500"
"8","500","1","10","90","80","0","500"
"1","500","1","10","90","69","0","500"
"6","500","1","10","90","46","0","500"
"7","500","1","10","90","71","0","500"
"3","500","1","10","90","94","0","500"
"2","500","1","10","90","81","0","500"
"5","500","1","10","90","73","0","500"
"8","500","1","10","90","81","0","500"
"4","500","1","10","90","71","0","500"
"1","500","1","10","90","70","0","500"
"6","500","1","10","90","47","0","500"
"2","500","1","10","90","82","0","500"
"3","500","1","10","90","95","0","500"
"5","500","1","10","90","74","0","500"
"8","500","1","10","90","82","0","500"
"7","500","1","10","90","72","0","500"
"2","500","1","10","90","83","0","500"
"4","500","1","10","90","72","0","500"
"6","500","1","10","90","48","0","500"
"1","500","1","10","90","71","0","500"
"3","500","1","10","90","96","0","500"
"8","500","1","10","90","83","0","500"
"2","500","1","10","90","84","0","500"
"5","500","1","10","90","75","0","500"
"7","500","1","10","90","73","0","500"
"3","500","1","10","90","97","0","500"
"4","500","1","10","90","73","0","500"
"6","500","1","10","90","49","0","500"
"1","500","1","10","90","72","0","500"
"8","500","1","10","90","84","0","500"
"2","500","1","10","90","85","0","500"
"3","500","1","10","90","98","0","500"
"6","500","1","10","90","50","0","500"
"7","500","1","10","90","74","0","500"
"5","500","1","10","90","76","0","500"
