[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles
8,100,11,10,90,9,0,100
5,100,1,10,90,11,0,100
3,100,1,10,90,10,0,100
7,100,11,10,90,5,0,100
6,100,11,10,90,6,0,100
4,100,1,10,90,6,0,100
1,100,1,10,90,7,0,100
8,100,11,10,90,10,0,100
2,100,1,10,90,7,0,100
5,100,1,10,90,12,0,100
4,100,1,10,90,7,0,100
6,100,11,10,90,7,0,100
3,100,1,10,90,11,0,100
8,100,11,10,90,11,0,100
1,100,1,10,90,8,0,100
7,100,11,10,90,6,0,100
2,100,1,10,90,8,0,100
4,100,1,10,90,8,0,100
6,100,11,10,90,8,0,100
8,100,11,10,90,12,0,100
3,100,1,10,90,12,0,100
2,100,1,10,90,9,0,100
5,100,1,10,90,13,0,100
1,100,1,10,90,9,0,100
4,100,1,10,90,9,0,100
8,100,11,10,90,13,0,100
7,100,11,10,90,7,0,100
6,100,11,10,90,9,0,100
5,100,1,10,90,14,0,100
2,100,1,10,90,10,0,100
1,100,1,10,90,10,0,100
3,100,1,10,90,13,0,100
4,100,1,10,90,10,0,100
8,100,11,10,90,14,0,100
5,100,1,10,90,15,0,100
6,100,11,10,90,10,0,100
4,100,1,10,90,11,0,100
1,100,1,10,90,11,0,100
2,100,1,10,90,11,0,100
7,100,11,10,90,8,0,100
8,100,11,10,90,15,0,100
3,100,1,10,90,14,0,100
4,100,1,10,90,12,0,100
1,100,1,10,90,12,0,100
6,100,11,10,90,11,0,100
3,100,1,10,90,15,0,100
2,100,1,10,90,12,0,100
5,100,1,10,90,16,0,100
8,100,11,10,90,16,0,100
1,100,1,10,90,13,0,100
7,100,11,10,90,9,0,100
4,100,1,10,90,13,0,100
6,100,11,10,90,12,0,100
1,100,1,10,90,14,0,100
2,100,1,10,90,13,0,100
8,100,11,10,90,17,0,100
3,100,1,10,90,16,0,100
5,100,1,10,90,17,0,100
6,100,11,10,90,13,0,100
4,100,1,10,90,14,0,100
8,100,11,10,90,18,0,100
5,100,1,10,90,18,0,100
7,100,11,10,90,10,0,100
1,100,1,10,90,15,0,100
3,100,1,10,90,17,0,100
2,100,1,10,90,14,0,100
4,100,1,10,90,15,0,100
8,100,11,10,90,19,0,100
6,100,11,10,90,14,0,100
7,100,11,10,90,11,0,100
3,100,1,10,90,18,0,100
1,100,1,10,90,16,0,100
5,100,1,10,90,19,0,100
4,100,1,10,90,16,0,100
2,100,1,10,90,15,0,100
8,100,11,10,90,20,0,100
6,100,11,10,90,15,0,100
5,100,1,10,90,20,0,100
4,100,1,10,90,17,0,100
1,100,1,10,90,17,0,100
7,100,11,10,90,12,0,100
3,100,1,10,90,19,0,100
8,100,11,10,90,21,0,100
2,100,1,10,90,16,0,100
5,100,1,10,90,21,0,100
4,100,1,10,90,18,0,100
6,100,11,10,90,16,0,100
1,100,1,10,90,18,0,100
8,100,11,10,90,22,0,100
3,100,1,10,90,20,0,100
4,100,1,10,90,19,0,100
7,100,11,10,90,13,0,100
2,100,1,10,90,17,0,100
6,100,11,10,90,17,0,100
5,100,1,10,90,22,0,100
1,100,1,10,90,19,0,100
3,100,1,10,90,21,0,100
8,100,11,10,90,23,0,100
4,100,1,10,90,20,0,100
7,100,11,10,90,14,0,100
8,100,11,10,90,24,0,100
2,100,1,10,90,18,0,100
5,100,1,10,90,23,0,100
4,100,1,10,90,21,0,100
1,100,1,10,90,20,0,100
6,100,11,10,90,18,0,100
8,100,11,10,90,25,0,100
2,100,1,10,90,19,0,100
4,100,1,10,90,22,0,100
7,100,11,10,90,15,0,100
1,100,1,10,90,21,0,100
3,100,1,10,90,22,0,100
6,100,11,10,90,19,0,100
